                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     228720 |     230033 |     227680 |     229500 |     229968 |     228714 |     229065 |     229199
  Cycles                             |    5946063 |    5946063 |    5946063 |    5946063 |    5946063 |    5946063 |    5946063 |    5946063
  IPC                                |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
  Time (ns)                          |    2235362 |    2235362 |    2235362 |    2235362 |    2235362 |    2235362 |    2235362 |    2235362
  Idle time (ns)                     |    2034219 |    1999725 |    2010024 |    2000411 |    1996972 |    2005297 |    2007336 |    2006588
  Idle time (%)                      |      91.0% |      89.5% |      89.9% |      89.5% |      89.3% |      89.7% |      89.8% |      89.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      19941 |      20023 |      19930 |      20022 |      19972 |      19964 |      20030 |      20055
  num incorrect                      |       1202 |       1212 |       1106 |       1207 |       1258 |       1180 |       1174 |       1162
  misprediction rate                 |      5.69% |      5.71% |      5.26% |      5.69% |      5.93% |      5.58% |      5.54% |      5.48%
  mpki                               |       5.26 |       5.27 |       4.86 |       5.26 |       5.47 |       5.16 |       5.13 |       5.07
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      19249 |      19393 |      19154 |      19311 |      19393 |      19237 |      19228 |      19238
    num cache misses                 |         24 |         24 |         24 |         24 |         24 |         24 |         25 |         24
    miss rate                        |      0.12% |      0.12% |      0.13% |      0.12% |      0.12% |      0.12% |      0.13% |      0.12%
    mpki                             |       0.10 |       0.10 |       0.11 |       0.10 |       0.10 |       0.10 |       0.11 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     138915 |     139470 |     138551 |     139198 |     139445 |     138924 |     139005 |     139061
    num cache misses                 |       4432 |       4350 |       4147 |       4405 |       4464 |       4196 |       4200 |       4276
    miss rate                        |      3.19% |      3.12% |      2.99% |      3.16% |      3.20% |      3.02% |      3.02% |      3.07%
    mpki                             |      19.38 |      18.91 |      18.21 |      19.19 |      19.41 |      18.35 |      18.34 |      18.66
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       6254 |       6042 |       5879 |       6176 |       6259 |       5896 |       5902 |       6004
    num cache misses                 |       4463 |       4380 |       4173 |       4433 |       4491 |       4222 |       4228 |       4304
    miss rate                        |     71.36% |     72.49% |     70.98% |     71.78% |     71.75% |     71.61% |     71.64% |     71.69%
    mpki                             |      19.51 |      19.04 |      18.33 |      19.32 |      19.53 |      18.46 |      18.46 |      18.78
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       6254 |       6042 |       5879 |       6176 |       6259 |       5896 |       5902 |       6004
    num cache misses                 |       4463 |       4380 |       4173 |       4433 |       4491 |       4222 |       4228 |       4304
    miss rate                        |     71.36% |     72.49% |     70.98% |     71.78% |     71.75% |     71.61% |     71.64% |     71.69%
    mpki                             |      19.51 |      19.04 |      18.33 |      19.32 |      19.53 |      18.46 |      18.46 |      18.78
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |       5838 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      71.50 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      18.07 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |        580 |        594 |        566 |        619 |        624 |        614 |        553 |        569
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2051 |       2014 |       2023 |       2029 |       2056 |       1913 |       1929 |       1964
