                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     231983 |     232743 |     231730 |     232048 |     233232 |     232278 |     232491 |     232773 |     231287 |     231357 |     231526 |     232355 |     233334 |     231359 |     232785 |     230493
  Cycles                             |   11890302 |   11890302 |   11890302 |   11890302 |   11890302 |   11890302 |   11890302 |   11890302 |   11890302 |   11890302 |   11890302 |   11890302 |   11890302 |   11890302 |   11890302 |   11890302
  IPC                                |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Time (ns)                          |    4470039 |    4470039 |    4470039 |    4470039 |    4470039 |    4470039 |    4470039 |    4470039 |    4470039 |    4470039 |    4470039 |    4470039 |    4470039 |    4470039 |    4470039 |    4470039
  Idle time (ns)                     |    4246954 |    4208074 |    4213780 |    4210520 |    4199547 |    4199393 |    4209448 |    4205615 |    4214734 |    4210644 |    4201188 |    4210200 |    4205924 |    4202361 |    4199021 |    4210679
  Idle time (%)                      |      95.0% |      94.1% |      94.3% |      94.2% |      93.9% |      93.9% |      94.2% |      94.1% |      94.3% |      94.2% |      94.0% |      94.2% |      94.1% |      94.0% |      93.9% |      94.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      20160 |      20196 |      20159 |      20136 |      20193 |      20134 |      20215 |      20196 |      20153 |      20094 |      20145 |      20237 |      20208 |      20047 |      20272 |      20064
  num incorrect                      |       1289 |       1242 |       1237 |       1255 |       1283 |       1300 |       1196 |       1292 |       1217 |       1255 |       1239 |       1249 |       1290 |       1282 |       1201 |       1229
  misprediction rate                 |      6.01% |      5.79% |      5.78% |      5.87% |      5.97% |      6.07% |      5.59% |      6.01% |      5.69% |      5.88% |      5.79% |      5.81% |      6.00% |      6.01% |      5.59% |      5.77%
  mpki                               |       5.56 |       5.34 |       5.34 |       5.41 |       5.50 |       5.60 |       5.14 |       5.55 |       5.26 |       5.42 |       5.35 |       5.38 |       5.53 |       5.54 |       5.16 |       5.33
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      19500 |      19678 |      19544 |      19589 |      19741 |      19599 |      19662 |      19610 |      19464 |      19478 |      19489 |      19555 |      19734 |      19523 |      19638 |      19396
    num cache misses                 |         24 |         24 |         25 |         25 |         25 |         25 |         24 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         24 |         25
    miss rate                        |      0.12% |      0.12% |      0.13% |      0.13% |      0.13% |      0.13% |      0.12% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.12% |      0.13%
    mpki                             |       0.10 |       0.10 |       0.11 |       0.11 |       0.11 |       0.11 |       0.10 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.10 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     140087 |     140516 |     140068 |     140207 |     140714 |     140278 |     140419 |     140457 |     139866 |     139925 |     139962 |     140262 |     140729 |     139958 |     140473 |     139565
    num cache misses                 |       4941 |       4772 |       4594 |       4633 |       4889 |       4631 |       4748 |       4766 |       4524 |       4503 |       4539 |       4506 |       4954 |       4533 |       4759 |       4373
    miss rate                        |      3.53% |      3.40% |      3.28% |      3.30% |      3.47% |      3.30% |      3.38% |      3.39% |      3.23% |      3.22% |      3.24% |      3.21% |      3.52% |      3.24% |      3.39% |      3.13%
    mpki                             |      21.30 |      20.50 |      19.82 |      19.97 |      20.96 |      19.94 |      20.42 |      20.47 |      19.56 |      19.46 |      19.60 |      19.39 |      21.23 |      19.59 |      20.44 |      18.97
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       6769 |       6549 |       6358 |       6388 |       6745 |       6372 |       6544 |       6534 |       6238 |       6217 |       6225 |       6220 |       6786 |       6289 |       6555 |       6063
    num cache misses                 |       4968 |       4798 |       4619 |       4661 |       4918 |       4660 |       4775 |       4793 |       4552 |       4529 |       4567 |       4533 |       4981 |       4559 |       4785 |       4398
    miss rate                        |     73.39% |     73.26% |     72.65% |     72.96% |     72.91% |     73.13% |     72.97% |     73.35% |     72.97% |     72.85% |     73.37% |     72.88% |     73.40% |     72.49% |     73.00% |     72.54%
    mpki                             |      21.42 |      20.62 |      19.93 |      20.09 |      21.09 |      20.06 |      20.54 |      20.59 |      19.68 |      19.58 |      19.73 |      19.51 |      21.35 |      19.71 |      20.56 |      19.08
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       6769 |       6549 |       6358 |       6388 |       6745 |       6372 |       6544 |       6534 |       6238 |       6217 |       6225 |       6220 |       6786 |       6289 |       6555 |       6063
    num cache misses                 |       4968 |       4798 |       4619 |       4661 |       4918 |       4660 |       4775 |       4793 |       4552 |       4529 |       4567 |       4533 |       4981 |       4559 |       4785 |       4398
    miss rate                        |     73.39% |     73.26% |     72.65% |     72.96% |     72.91% |     73.13% |     72.97% |     73.35% |     72.97% |     72.85% |     73.37% |     72.88% |     73.40% |     72.49% |     73.00% |     72.54%
    mpki                             |      21.42 |      20.62 |      19.93 |      20.09 |      21.09 |      20.06 |      20.54 |      20.59 |      19.68 |      19.58 |      19.73 |      19.51 |      21.35 |      19.71 |      20.56 |      19.08
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      14549 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      97.23 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      43.81 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        697 |        722 |        718 |        708 |        758 |        722 |        728 |        681 |        711 |        729 |        708 |        652 |        815 |        689 |        787 |        680
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2137 |       2145 |       2060 |       2109 |       2194 |       2048 |       2152 |       2140 |       1981 |       1988 |       2004 |       2014 |       2136 |       2067 |       2043 |       1969
