                                     | Core 0     | Core 1    
  Instructions                       |    3654891 |    4726031
  Cycles                             |    6925348 |    6925348
  IPC                                |       0.53 |       0.68
  Time (ns)                          |    2603515 |    2603515
  Idle time (ns)                     |     420377 |      13461
  Idle time (%)                      |      16.1% |       0.5%
Branch predictor stats               |            |           
  num correct                        |     486399 |     664920
  num incorrect                      |         90 |         92
  misprediction rate                 |      0.02% |      0.01%
  mpki                               |       0.02 |       0.02
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     211017 |     211018
    num cache misses                 |         16 |         15
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    2084477 |    2620044
    num cache misses                 |       1762 |       1761
    miss rate                        |      0.08% |      0.07%
    mpki                             |       0.48 |       0.37
  Cache L2                           |            |           
    num cache accesses               |       1796 |       1796
    num cache misses                 |       1778 |       1776
    miss rate                        |     99.00% |     98.89%
    mpki                             |       0.49 |       0.38
  Cache L3                           |            |           
    num cache accesses               |       1796 |       1796
    num cache misses                 |       1778 |       1776
    miss rate                        |     99.00% |     98.89%
    mpki                             |       0.49 |       0.38
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |     147.47 |        inf
  average dram queueing delay        |      94.04 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |         19 |         20
