                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    8122941 |    7625885 |    8451411 |    8418502
  Cycles                             |   13871669 |   13871669 |   13871669 |   13871669
  IPC                                |       0.59 |       0.55 |       0.61 |       0.61
  Time (ns)                          |    5214914 |    5214914 |    5214914 |    5214914
  Idle time (ns)                     |     217391 |     469350 |      24772 |     123818
  Idle time (%)                      |       4.2% |       9.0% |       0.5% |       2.4%
Branch predictor stats               |            |            |            |           
  num correct                        |    1230932 |    1148114 |    1285681 |    1280205
  num incorrect                      |        232 |        211 |        229 |        221
  misprediction rate                 |      0.02% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     211017 |     211015 |     211016 |     211015
    num cache misses                 |         16 |         16 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    4318502 |    4069984 |    4482742 |    4466293
    num cache misses                 |      56691 |      45643 |      51138 |      48659
    miss rate                        |      1.31% |      1.12% |      1.14% |      1.09%
    mpki                             |       6.98 |       5.99 |       6.05 |       5.78
  Cache L2                           |            |            |            |           
    num cache accesses               |      56761 |      45707 |      51207 |      48726
    num cache misses                 |      56707 |      45659 |      51154 |      48675
    miss rate                        |     99.90% |     99.89% |     99.90% |     99.90%
    mpki                             |       6.98 |       5.99 |       6.05 |       5.78
  Cache L3                           |            |            |            |           
    num cache accesses               |      56761 |      45707 |      51207 |      48726
    num cache misses                 |      56707 |      45659 |      51154 |      48675
    miss rate                        |     99.90% |     99.89% |     99.90% |     99.90%
    mpki                             |       6.98 |       5.99 |       6.05 |       5.78
DRAM summary                         |            |            |            |           
  num dram accesses                  |         80 |          0 |          0 |          0
  average dram access latency (ns)   |      84.67 |        inf |        inf |        inf
  average dram queueing delay        |      31.24 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |          5 |          8 |          9
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |         57 |         50 |         51 |         49
