                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    1195087 |    1157191 |    1340661 |    1214335 |    1297741 |    1016239 |    1224444 |    1233121
  Cycles                             |    2299731 |    2299731 |    2299731 |    2299731 |    2299731 |    2299731 |    2299731 |    2299731
  IPC                                |       0.52 |       0.50 |       0.58 |       0.53 |       0.56 |       0.44 |       0.53 |       0.54
  Time (ns)                          |     864561 |     864561 |     864561 |     864561 |     864561 |     864561 |     864561 |     864561
  Idle time (ns)                     |      83137 |     187262 |      83451 |     159629 |     122839 |     278733 |     148145 |     153982
  Idle time (%)                      |       9.6% |      21.7% |       9.7% |      18.5% |      14.2% |      32.2% |      17.1% |      17.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     181329 |     175047 |     205600 |     184548 |     198495 |     151574 |     186272 |     187719
  num incorrect                      |        192 |        165 |        182 |        186 |        142 |        146 |        149 |        148
  misprediction rate                 |      0.11% |      0.09% |      0.09% |      0.10% |      0.07% |      0.10% |      0.08% |      0.08%
  mpki                               |       0.16 |       0.14 |       0.14 |       0.15 |       0.11 |       0.14 |       0.12 |       0.12
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      31015 |      31012 |      31020 |      31013 |      31011 |      31012 |      31012 |      31011
    num cache misses                 |         14 |         15 |         16 |         16 |         15 |         15 |         15 |         15
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     629574 |     610637 |     702347 |     639210 |     680914 |     540161 |     644264 |     648604
    num cache misses                 |      15459 |       9858 |      11371 |      10244 |      10557 |       8483 |      10707 |      10266
    miss rate                        |      2.46% |      1.61% |      1.62% |      1.60% |      1.55% |      1.57% |      1.66% |      1.58%
    mpki                             |      12.94 |       8.52 |       8.48 |       8.44 |       8.13 |       8.35 |       8.74 |       8.33
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      15602 |      10001 |      11503 |      10380 |      10685 |       8615 |      10838 |      10411
    num cache misses                 |      15473 |       9873 |      11387 |      10260 |      10572 |       8498 |      10722 |      10281
    miss rate                        |     99.17% |     98.72% |     98.99% |     98.84% |     98.94% |     98.64% |     98.93% |     98.75%
    mpki                             |      12.95 |       8.53 |       8.49 |       8.45 |       8.15 |       8.36 |       8.76 |       8.34
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      15602 |      10001 |      11503 |      10380 |      10685 |       8615 |      10838 |      10411
    num cache misses                 |      15473 |       9873 |      11387 |      10260 |      10572 |       8498 |      10722 |      10281
    miss rate                        |     99.17% |     98.72% |     98.99% |     98.84% |     98.94% |     98.64% |     98.93% |     98.75%
    mpki                             |      12.95 |       8.53 |       8.49 |       8.45 |       8.15 |       8.36 |       8.76 |       8.34
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |        169 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     243.78 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     190.36 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          8 |          8 |          7 |          8 |          8 |          7 |          7
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        116 |        117 |        107 |        115 |        100 |        108 |        107 |        111
