                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    1909971 |    2540431 |    2761929 |    2583823 |    2647401 |    2644047 |    2753995 |    2723877 |    1584674 |    2797755 |    2587039 |    2788953 |    2728765 |    2157052 |    2759646 |    2317720
  Cycles                             |    4069979 |    4069979 |    4069979 |    4069979 |    4069979 |    4069979 |    4069979 |    4069979 |    4069979 |    4069979 |    4069979 |    4069979 |    4069979 |    4069979 |    4069979 |    4069979
  IPC                                |       0.47 |       0.62 |       0.68 |       0.63 |       0.65 |       0.65 |       0.68 |       0.67 |       0.39 |       0.69 |       0.64 |       0.69 |       0.67 |       0.53 |       0.68 |       0.57
  Time (ns)                          |    1530068 |    1530068 |    1530068 |    1530068 |    1530068 |    1530068 |    1530068 |    1530068 |    1530068 |    1530068 |    1530068 |    1530068 |    1530068 |    1530068 |    1530068 |    1530068
  Idle time (ns)                     |     427010 |     210129 |      92627 |     198156 |     163063 |     156350 |      88987 |     107100 |     714320 |      61064 |     192670 |      63895 |      80998 |     400130 |      76738 |     331134
  Idle time (%)                      |      27.9% |      13.7% |       6.1% |      13.0% |      10.7% |      10.2% |       5.8% |       7.0% |      46.7% |       4.0% |      12.6% |       4.2% |       5.3% |      26.2% |       5.0% |      21.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     300509 |     405578 |     442510 |     412824 |     423439 |     422865 |     441211 |     436180 |     246322 |     448488 |     413378 |     447015 |     436990 |     341718 |     442134 |     368494
  num incorrect                      |        160 |        169 |        153 |        155 |        136 |        151 |        130 |        141 |        132 |        146 |        137 |        152 |        146 |        133 |        149 |        135
  misprediction rate                 |      0.05% |      0.04% |      0.03% |      0.04% |      0.03% |      0.04% |      0.03% |      0.03% |      0.05% |      0.03% |      0.03% |      0.03% |      0.03% |      0.04% |      0.03% |      0.04%
  mpki                               |       0.08 |       0.07 |       0.06 |       0.06 |       0.05 |       0.06 |       0.05 |       0.05 |       0.08 |       0.05 |       0.05 |       0.05 |       0.05 |       0.06 |       0.05 |       0.06
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      31017 |      31020 |      31020 |      31020 |      31020 |      31020 |      31020 |      31020 |      31019 |      31018 |      31020 |      31020 |      31020 |      31015 |      31015 |      31015
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     987017 |    1302250 |    1412998 |    1323946 |    1355734 |    1354057 |    1409032 |    1393972 |     824373 |    1430912 |    1325554 |    1426510 |    1396417 |    1110568 |    1411865 |    1190902
    num cache misses                 |      21072 |      16804 |      18554 |      16964 |      17455 |      17567 |      18783 |      18388 |      10188 |      18944 |      17164 |      18906 |      19019 |      14571 |      19024 |      15328
    miss rate                        |      2.13% |      1.29% |      1.31% |      1.28% |      1.29% |      1.30% |      1.33% |      1.32% |      1.24% |      1.32% |      1.29% |      1.33% |      1.36% |      1.31% |      1.35% |      1.29%
    mpki                             |      11.03 |       6.61 |       6.72 |       6.57 |       6.59 |       6.64 |       6.82 |       6.75 |       6.43 |       6.77 |       6.63 |       6.78 |       6.97 |       6.76 |       6.89 |       6.61
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      21224 |      16963 |      18709 |      17111 |      17593 |      17712 |      18927 |      18532 |      10332 |      19083 |      17288 |      19053 |      19156 |      14720 |      19170 |      15477
    num cache misses                 |      21088 |      16820 |      18570 |      16980 |      17471 |      17583 |      18799 |      18404 |      10204 |      18960 |      17180 |      18922 |      19035 |      14587 |      19040 |      15344
