                                     | Core 0     | Core 1    
  Instructions                       |     395646 |     431884
  Cycles                             |     513430 |     513430
  IPC                                |       0.77 |       0.84
  Time (ns)                          |     193019 |     193019
  Idle time (ns)                     |      16233 |      12454
  Idle time (%)                      |       8.4% |       6.5%
Branch predictor stats               |            |           
  num correct                        |      55298 |      62520
  num incorrect                      |        237 |        255
  misprediction rate                 |      0.43% |      0.41%
  mpki                               |       0.60 |       0.59
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      31018 |      31027
    num cache misses                 |         16 |         16
    miss rate                        |      0.05% |      0.05%
    mpki                             |       0.04 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |     251615 |     273338
    num cache misses                 |       2320 |       2331
    miss rate                        |      0.92% |      0.85%
    mpki                             |       5.86 |       5.40
  Cache L2                           |            |           
    num cache accesses               |       2640 |       2621
    num cache misses                 |       2336 |       2348
    miss rate                        |     88.48% |     89.58%
    mpki                             |       5.90 |       5.44
  Cache L3                           |            |           
    num cache accesses               |       2640 |       2621
    num cache misses                 |       2336 |       2348
    miss rate                        |     88.48% |     89.58%
    mpki                             |       5.90 |       5.44
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |     112.72 |        inf
  average dram queueing delay        |      59.29 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |        276 |        278
