                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    6240616 |    6857456 |    6533595 |    5506580
  Cycles                             |   14071786 |   14071786 |   14071786 |   14071786
  IPC                                |       0.44 |       0.49 |       0.46 |       0.39
  Time (ns)                          |    5290145 |    5290145 |    5290145 |    5290145
  Idle time (ns)                     |     302458 |      24984 |     187753 |     618432
  Idle time (%)                      |       5.7% |       0.5% |       3.5% |      11.7%
Branch predictor stats               |            |            |            |           
  num correct                        |    1080329 |    1203709 |    1138922 |     933523
  num incorrect                      |        200 |        196 |        204 |        202
  misprediction rate                 |      0.02% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.04
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     211018 |     211010 |     211021 |     211016
    num cache misses                 |         16 |         14 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    3866597 |    4236717 |    4042387 |    3426189
    num cache misses                 |     103574 |      97607 |      95422 |      87770
    miss rate                        |      2.68% |      2.30% |      2.36% |      2.56%
    mpki                             |      16.60 |      14.23 |      14.60 |      15.94
  Cache L2                           |            |            |            |           
    num cache accesses               |     103634 |      97667 |      95484 |      87832
    num cache misses                 |     103590 |      97621 |      95438 |      87786
    miss rate                        |     99.96% |     99.95% |     99.95% |     99.95%
    mpki                             |      16.60 |      14.24 |      14.61 |      15.94
  Cache L3                           |            |            |            |           
    num cache accesses               |     103634 |      97667 |      95484 |      87832
    num cache misses                 |     103590 |      97621 |      95438 |      87786
    miss rate                        |     99.96% |     99.95% |     99.95% |     99.95%
    mpki                             |      16.60 |      14.24 |      14.61 |      15.94
DRAM summary                         |            |            |            |           
  num dram accesses                  |         79 |          0 |          0 |          0
  average dram access latency (ns)   |      83.21 |        inf |        inf |        inf
  average dram queueing delay        |      29.78 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          8 |          7 |          7
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |         45 |         43 |         46 |         48
