                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   20208696 |   18861200 |   14450465 |   17077905 |   16082372 |   20384625 |   18073427 |   18386235
  Cycles                             |   28103327 |   28103327 |   28103327 |   28103327 |   28103327 |   28103327 |   28103327 |   28103327
  IPC                                |       0.72 |       0.67 |       0.51 |       0.61 |       0.57 |       0.73 |       0.64 |       0.65
  Time (ns)                          |   10565161 |   10565161 |   10565161 |   10565161 |   10565161 |   10565161 |   10565161 |   10565161
  Idle time (ns)                     |     150345 |     431640 |    2503061 |    1404886 |    1858901 |      83211 |     829258 |     754596
  Idle time (%)                      |       1.4% |       4.1% |      23.7% |      13.3% |      17.6% |       0.8% |       7.8% |       7.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    3873863 |    3604363 |    2722265 |    3247741 |    3048616 |    3909058 |    3446827 |    3509373
  num incorrect                      |        282 |        286 |        237 |        247 |        267 |        275 |        267 |        281
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.01 |       0.02 |       0.02 |       0.01 |       0.02 |       0.01 |       0.01 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     211018 |     211016 |     211016 |     211021 |     211016 |     211014 |     211016 |     211021
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         15 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   12247445 |   11438962 |    8792520 |   10368973 |    9771665 |   12353016 |   10966297 |   11153971
    num cache misses                 |     245998 |     201033 |     155086 |     178597 |     168446 |     203796 |     193205 |     193425
    miss rate                        |      2.01% |      1.76% |      1.76% |      1.72% |      1.72% |      1.65% |      1.76% |      1.73%
    mpki                             |      12.17 |      10.66 |      10.73 |      10.46 |      10.47 |      10.00 |      10.69 |      10.52
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     246077 |     201116 |     155155 |     178671 |     168523 |     203878 |     193282 |     193507
    num cache misses                 |     246014 |     201049 |     155102 |     178613 |     168462 |     203811 |     193221 |     193441
    miss rate                        |     99.97% |     99.97% |     99.97% |     99.97% |     99.96% |     99.97% |     99.97% |     99.97%
    mpki                             |      12.17 |      10.66 |      10.73 |      10.46 |      10.47 |      10.00 |      10.69 |      10.52
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     246077 |     201116 |     155155 |     178671 |     168523 |     203878 |     193282 |     193507
    num cache misses                 |     246014 |     201049 |     155102 |     178613 |     168462 |     203811 |     193221 |     193441
    miss rate                        |     99.97% |     99.97% |     99.97% |     99.97% |     99.96% |     99.97% |     99.97% |     99.97%
    mpki                             |      12.17 |      10.66 |      10.73 |      10.46 |      10.47 |      10.00 |      10.69 |      10.52
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |        190 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     228.22 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     174.79 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          9 |          9 |         10 |          8 |          9 |         10 |          7
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |         63 |         67 |         54 |         55 |         61 |         64 |         60 |         69
