                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    2592025 |    3312950 |    2852125 |    2824702 |    3000575 |    2325268 |    2972724 |    3194042 |    3240995 |    2928997 |    3090072 |    2686507 |    3284062 |    3398530 |    3345033 |    3245195
  Cycles                             |    3713284 |    3713284 |    3713284 |    3713284 |    3713284 |    3713284 |    3713284 |    3713284 |    3713284 |    3713284 |    3713284 |    3713284 |    3713284 |    3713284 |    3713284 |    3713284
  IPC                                |       0.70 |       0.89 |       0.77 |       0.76 |       0.81 |       0.63 |       0.80 |       0.86 |       0.87 |       0.79 |       0.83 |       0.72 |       0.88 |       0.92 |       0.90 |       0.87
  Time (ns)                          |    1395972 |    1395972 |    1395972 |    1395972 |    1395972 |    1395972 |    1395972 |    1395972 |    1395972 |    1395972 |    1395972 |    1395972 |    1395972 |    1395972 |    1395972 |    1395972
  Idle time (ns)                     |      70766 |     105853 |     286285 |     299453 |     237465 |     478087 |     246758 |     160717 |     143099 |     246569 |     200491 |     343329 |     129753 |      81101 |     108464 |     138368
  Idle time (%)                      |       5.1% |       7.6% |      20.5% |      21.5% |      17.0% |      34.2% |      17.7% |      11.5% |      10.3% |      17.7% |      14.4% |      24.6% |       9.3% |       5.8% |       7.8% |       9.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     494524 |     638697 |     546531 |     541051 |     576199 |     441164 |     570650 |     614890 |     624243 |     561907 |     594122 |     513403 |     632874 |     655701 |     645049 |     625110
  num incorrect                      |        287 |        300 |        301 |        298 |        314 |        281 |        308 |        327 |        354 |        301 |        301 |        289 |        347 |        412 |        350 |        336
  misprediction rate                 |      0.06% |      0.05% |      0.06% |      0.06% |      0.05% |      0.06% |      0.05% |      0.05% |      0.06% |      0.05% |      0.05% |      0.06% |      0.05% |      0.06% |      0.05% |      0.05%
  mpki                               |       0.11 |       0.09 |       0.11 |       0.11 |       0.10 |       0.12 |       0.10 |       0.10 |       0.11 |       0.10 |       0.10 |       0.11 |       0.11 |       0.12 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      31018 |      31021 |      31021 |      31016 |      31016 |      31028 |      31012 |      31016 |      31016 |      31016 |      31016 |      31025 |      31016 |      31021 |      31030 |      31021
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         16 |         15 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.01 |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.00 |       0.01 |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1569437 |    2002000 |    1725505 |    1709062 |    1814555 |    1409349 |    1797874 |    1930666 |    1958807 |    1771639 |    1868284 |    1626090 |    1984678 |    2053348 |    2021204 |    1961347
    num cache misses                 |      36166 |      24269 |      20752 |      20423 |      21600 |      17078 |      21447 |      22986 |      23372 |      21629 |      22367 |      19777 |      23718 |      24694 |      24072 |      23557
    miss rate                        |      2.30% |      1.21% |      1.20% |      1.19% |      1.19% |      1.21% |      1.19% |      1.19% |      1.19% |      1.22% |      1.20% |      1.22% |      1.20% |      1.20% |      1.19% |      1.20%
    mpki                             |      13.95 |       7.33 |       7.28 |       7.23 |       7.20 |       7.34 |       7.21 |       7.20 |       7.21 |       7.38 |       7.24 |       7.36 |       7.22 |       7.27 |       7.20 |       7.26
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      36560 |      24715 |      21205 |      20898 |      22088 |      17482 |      21908 |      23451 |      23920 |      22106 |      22833 |      20214 |      24250 |      25301 |      24576 |      24050
