                                     | Core 0     | Core 1    
  Instructions                       |     498425 |     472960
  Cycles                             |     529398 |     529398
  IPC                                |       0.94 |       0.89
  Time (ns)                          |     199022 |     199022
  Idle time (ns)                     |      14471 |      16238
  Idle time (%)                      |       7.3% |       8.2%
Branch predictor stats               |            |           
  num correct                        |      91195 |      84839
  num incorrect                      |        163 |        162
  misprediction rate                 |      0.18% |      0.19%
  mpki                               |       0.33 |       0.34
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      32016 |      32014
    num cache misses                 |         14 |         16
    miss rate                        |      0.04% |      0.05%
    mpki                             |       0.03 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |     280742 |     268021
    num cache misses                 |       1277 |       1282
    miss rate                        |      0.45% |      0.48%
    mpki                             |       2.56 |       2.71
  Cache L2                           |            |           
    num cache accesses               |       2062 |       2070
    num cache misses                 |       1291 |       1298
    miss rate                        |     62.61% |     62.71%
    mpki                             |       2.59 |       2.74
  Cache L3                           |            |           
    num cache accesses               |       2062 |       2070
    num cache misses                 |       1291 |       1298
    miss rate                        |     62.61% |     62.71%
    mpki                             |       2.59 |       2.74
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      97.64 |        inf
  average dram queueing delay        |      44.21 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          4 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |        988 |        916
