                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     140749 |     115396 |     140449 |     117845
  Cycles                             |     259428 |     259428 |     259428 |     259428
  IPC                                |       0.54 |       0.44 |       0.54 |       0.45
  Time (ns)                          |      97530 |      97530 |      97530 |      97530
  Idle time (ns)                     |      38712 |      48614 |      37343 |      49943
  Idle time (%)                      |      39.7% |      49.8% |      38.3% |      51.2%
Branch predictor stats               |            |            |            |           
  num correct                        |      22075 |      15758 |      22002 |      16352
  num incorrect                      |        114 |        102 |        121 |        112
  misprediction rate                 |      0.51% |      0.64% |      0.55% |      0.68%
  mpki                               |       0.81 |       0.88 |       0.86 |       0.95
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      14018 |      14015 |      14013 |      14012
    num cache misses                 |         16 |         17 |         16 |         16
    miss rate                        |      0.11% |      0.12% |      0.11% |      0.11%
    mpki                             |       0.11 |       0.15 |       0.11 |       0.14
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      79403 |      66737 |      79263 |      67937
    num cache misses                 |       1299 |        967 |       1086 |        923
    miss rate                        |      1.64% |      1.45% |      1.37% |      1.36%
    mpki                             |       9.23 |       8.38 |       7.73 |       7.83
  Cache L2                           |            |            |            |           
    num cache accesses               |       1694 |       1416 |       1498 |       1371
    num cache misses                 |       1315 |        984 |       1102 |        939
    miss rate                        |     77.63% |     69.49% |     73.56% |     68.49%
    mpki                             |       9.34 |       8.53 |       7.85 |       7.97
  Cache L3                           |            |            |            |           
    num cache accesses               |       1694 |       1416 |       1498 |       1371
    num cache misses                 |       1315 |        984 |       1102 |        939
    miss rate                        |     77.63% |     69.49% |     73.56% |     68.49%
    mpki                             |       9.34 |       8.53 |       7.85 |       7.97
DRAM summary                         |            |            |            |           
  num dram accesses                  |       1019 |          0 |          0 |          0
  average dram access latency (ns)   |      64.24 |        inf |        inf |        inf
  average dram queueing delay        |      10.81 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      8.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |        217 |        191 |        226 |        157
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |        650 |        359 |        450 |        335
