                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    1414233 |    1471954 |    1794654 |    1941921 |    1636576 |    1811979 |    1833863 |    1825287
  Cycles                             |    2427213 |    2427213 |    2427213 |    2427213 |    2427213 |    2427213 |    2427213 |    2427213
  IPC                                |       0.58 |       0.61 |       0.74 |       0.80 |       0.67 |       0.75 |       0.76 |       0.75
  Time (ns)                          |     912486 |     912486 |     912486 |     912486 |     912486 |     912486 |     912486 |     912486
  Idle time (ns)                     |     327829 |     256624 |     123966 |      83162 |     185221 |     126490 |     112416 |     113417
  Idle time (%)                      |      35.9% |      28.1% |      13.6% |       9.1% |      20.3% |      13.9% |      12.3% |      12.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     319970 |     334427 |     415115 |     451968 |     375560 |     419404 |     424872 |     422738
  num incorrect                      |        333 |        310 |        304 |        261 |        342 |        339 |        347 |        338
  misprediction rate                 |      0.10% |      0.09% |      0.07% |      0.06% |      0.09% |      0.08% |      0.08% |      0.08%
  mpki                               |       0.24 |       0.21 |       0.17 |       0.13 |       0.21 |       0.19 |       0.19 |       0.19
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      32018 |      32017 |      32017 |      32015 |      32013 |      32015 |      32014 |      32014
    num cache misses                 |         16 |         17 |         17 |         16 |         16 |         17 |         16 |         16
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     738639 |     767509 |     928862 |    1002493 |     849822 |     937516 |     948465 |     944178
    num cache misses                 |       5005 |       5049 |       6206 |       6394 |       5646 |       6170 |       6368 |       6330
    miss rate                        |      0.68% |      0.66% |      0.67% |      0.64% |      0.66% |      0.66% |      0.67% |      0.67%
    mpki                             |       3.54 |       3.43 |       3.46 |       3.29 |       3.45 |       3.41 |       3.47 |       3.47
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5936 |       5957 |       7118 |       7003 |       6550 |       7078 |       7269 |       7244
    num cache misses                 |       5021 |       5066 |       6223 |       6410 |       5662 |       6187 |       6384 |       6346
    miss rate                        |     84.59% |     85.04% |     87.43% |     91.53% |     86.44% |     87.41% |     87.83% |     87.60%
    mpki                             |       3.55 |       3.44 |       3.47 |       3.30 |       3.46 |       3.41 |       3.48 |       3.48
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5936 |       5957 |       7118 |       7003 |       6550 |       7078 |       7269 |       7244
    num cache misses                 |       5021 |       5066 |       6223 |       6410 |       5662 |       6187 |       6384 |       6346
    miss rate                        |     84.59% |     85.04% |     87.43% |     91.53% |     86.44% |     87.41% |     87.83% |     87.60%
    mpki                             |       3.55 |       3.44 |       3.47 |       3.30 |       3.46 |       3.41 |       3.48 |       3.48
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      33628 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      63.72 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      10.29 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     31.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       2784 |       3522 |       4381 |       4630 |       4006 |       4200 |       4447 |       4371
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1583 |       1009 |       1280 |       1407 |       1112 |       1414 |       1370 |       1384
