                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   80667793 |   82838834 |   86000984 |   85042134 |   75013643 |   83345674 |   85637506 |   83279699 |   79283211 |   81457662 |   84552985 |   83561121 |   83565876 |   85549604 |   84155344 |   84700306
  Cycles                             |   52974116 |   52974116 |   52974116 |   52974116 |   52974116 |   52974116 |   52974116 |   52974116 |   52974116 |   52974116 |   52974116 |   52974116 |   52974116 |   52974116 |   52974116 |   52974116
  IPC                                |       1.52 |       1.56 |       1.62 |       1.61 |       1.42 |       1.57 |       1.62 |       1.57 |       1.50 |       1.54 |       1.60 |       1.58 |       1.58 |       1.61 |       1.59 |       1.60
  Time (ns)                          |   19915081 |   19915081 |   19915081 |   19915081 |   19915081 |   19915081 |   19915081 |   19915081 |   19915081 |   19915081 |   19915081 |   19915081 |   19915081 |   19915081 |   19915081 |   19915081
  Idle time (ns)                     |    1371797 |     742724 |      71792 |     261529 |    2407911 |     620489 |     123007 |     614113 |    1448077 |     966799 |     318263 |     517158 |     509187 |      92907 |     358833 |     224310
  Idle time (%)                      |       6.9% |       3.7% |       0.4% |       1.3% |      12.1% |       3.1% |       0.6% |       3.1% |       7.3% |       4.9% |       1.6% |       2.6% |       2.6% |       0.5% |       1.8% |       1.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   19930295 |   20472995 |   21263580 |   21023754 |   18516822 |   20599709 |   21172573 |   20583138 |   19584110 |   20127741 |   20901499 |   20653513 |   20654726 |   21150623 |   20802100 |   20938336
  num incorrect                      |        882 |        946 |        894 |        996 |        830 |        941 |       1022 |        998 |        905 |        902 |        956 |        995 |        979 |        989 |        966 |        968
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     212018 |     212022 |     212018 |     212023 |     212012 |     212023 |     212022 |     212025 |     212025 |     212022 |     212032 |     212022 |     212012 |     212027 |     212012 |     212017
    num cache misses                 |         16 |         17 |         17 |         17 |         16 |         17 |         17 |         18 |         18 |         17 |         18 |         17 |         16 |         18 |         16 |         17
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   40590406 |   41675923 |   43257001 |   42777556 |   37763336 |   41929341 |   43075245 |   41896344 |   39898096 |   40985332 |   42532966 |   42037061 |   42039452 |   43031292 |   42334180 |   42606660
    num cache misses                 |      24608 |      25401 |      26323 |      26055 |      23049 |      25637 |      26261 |      25469 |      24343 |      24967 |      25857 |      25545 |      25653 |      26084 |      25807 |      25892
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.30 |       0.31 |       0.31
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      25539 |      26365 |      27247 |      27031 |      24004 |      26593 |      27223 |      26437 |      25292 |      25933 |      26801 |      26485 |      26619 |      27057 |      26764 |      26833
    num cache misses                 |      24624 |      25418 |      26340 |      26072 |      23065 |      25654 |      26278 |      25487 |      24361 |      24984 |      25875 |      25562 |      25669 |      26102 |      25823 |      25909
    miss rate                        |     96.42% |     96.41% |     96.67% |     96.45% |     96.09% |     96.47% |     96.53% |     96.41% |     96.32% |     96.34% |     96.54% |     96.52% |     96.43% |     96.47% |     96.48% |     96.56%
    mpki                             |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      25539 |      26365 |      27247 |      27031 |      24004 |      26593 |      27223 |      26437 |      25292 |      25933 |      26801 |      26485 |      26619 |      27057 |      26764 |      26833
    num cache misses                 |      24624 |      25418 |      26340 |      26072 |      23065 |      25654 |      26278 |      25487 |      24361 |      24984 |      25875 |      25562 |      25669 |      26102 |      25823 |      25909
    miss rate                        |     96.42% |     96.41% |     96.67% |     96.45% |     96.09% |     96.47% |     96.53% |     96.41% |     96.32% |     96.34% |     96.54% |     96.52% |     96.43% |     96.47% |     96.48% |     96.56%
    mpki                             |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     355665 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     100.46 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      47.03 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     15.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      20668 |      20823 |      21723 |      21690 |      19354 |      21574 |      22262 |      21732 |      20958 |      21721 |      22533 |      22362 |      22602 |      23105 |      23043 |      23351
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2684 |       3240 |       3306 |       3007 |       2393 |       2722 |       2646 |       2363 |       2042 |       1914 |       1985 |       1823 |       1699 |       1692 |       1417 |       1221
