                                     | Core 0    
  Instructions                       |      71047
  Cycles                             |      32718
  IPC                                |       2.17
  Time (ns)                          |      12300
  Idle time (ns)                     |         15
  Idle time (%)                      |       0.1%
Branch predictor stats               |           
  num correct                        |       5007
  num incorrect                      |          7
  misprediction rate                 |      0.14%
  mpki                               |       0.10
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      12016
    num cache misses                 |         13
    miss rate                        |      0.11%
    mpki                             |       0.18
  Cache L1-D                         |           
    num cache accesses               |      45053
    num cache misses                 |         11
    miss rate                        |      0.02%
    mpki                             |       0.15
  Cache L2                           |           
    num cache accesses               |         26
    num cache misses                 |         24
    miss rate                        |     92.31%
    mpki                             |       0.34
  Cache L3                           |           
    num cache accesses               |         26
    num cache misses                 |         24
    miss rate                        |     92.31%
    mpki                             |       0.34
DRAM summary                         |           
  num dram accesses                  |         24
  average dram access latency (ns)   |     114.92
  average dram queueing delay        |      61.49
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |          7
  num loads from dram cache          |          0
  num loads from remote cache        |          0
