                                     | Core 0     | Core 1    
  Instructions                       |     151040 |     110973
  Cycles                             |     102851 |     102851
  IPC                                |       1.47 |       1.08
  Time (ns)                          |      38666 |      38666
  Idle time (ns)                     |       5499 |      12530
  Idle time (%)                      |      14.2% |      32.4%
Branch predictor stats               |            |           
  num correct                        |      24954 |      14955
  num incorrect                      |         58 |         53
  misprediction rate                 |      0.23% |      0.35%
  mpki                               |       0.38 |       0.48
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      12018 |      12010
    num cache misses                 |         15 |         14
    miss rate                        |      0.12% |      0.12%
    mpki                             |       0.10 |       0.13
  Cache L1-D                         |            |           
    num cache accesses               |      85050 |      65030
    num cache misses                 |        227 |        247
    miss rate                        |      0.27% |      0.38%
    mpki                             |       1.50 |       2.23
  Cache L2                           |            |           
    num cache accesses               |        366 |        362
    num cache misses                 |        242 |        261
    miss rate                        |     66.12% |     72.10%
    mpki                             |       1.60 |       2.35
  Cache L3                           |            |           
    num cache accesses               |        366 |        362
    num cache misses                 |        242 |        261
    miss rate                        |     66.12% |     72.10%
    mpki                             |       1.60 |       2.35
DRAM summary                         |            |           
  num dram accesses                  |         29 |          0
  average dram access latency (ns)   |      80.84 |        inf
  average dram queueing delay        |      27.41 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          4 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |        135 |        156
