                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     147103 |     158478 |     142659 |     157465
  Cycles                             |     249586 |     249586 |     249586 |     249586
  IPC                                |       0.59 |       0.63 |       0.57 |       0.63
  Time (ns)                          |      93830 |      93830 |      93830 |      93830
  Idle time (ns)                     |      46491 |      38707 |      46643 |      37403
  Idle time (%)                      |      49.5% |      41.3% |      49.7% |      39.9%
Branch predictor stats               |            |            |            |           
  num correct                        |      23928 |      26744 |      22792 |      26483
  num incorrect                      |         97 |        105 |        132 |        141
  misprediction rate                 |      0.40% |      0.39% |      0.58% |      0.53%
  mpki                               |       0.66 |       0.66 |       0.93 |       0.90
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      12020 |      12029 |      12013 |      12011
    num cache misses                 |         15 |         16 |         15 |         14
    miss rate                        |      0.12% |      0.13% |      0.12% |      0.12%
    mpki                             |       0.10 |       0.10 |       0.11 |       0.09
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      83078 |      88740 |      80867 |      88269
    num cache misses                 |        613 |        650 |        570 |        717
    miss rate                        |      0.74% |      0.73% |      0.70% |      0.81%
    mpki                             |       4.17 |       4.10 |       4.00 |       4.55
  Cache L2                           |            |            |            |           
    num cache accesses               |        840 |        852 |        787 |        934
    num cache misses                 |        628 |        666 |        585 |        731
    miss rate                        |     74.76% |     78.17% |     74.33% |     78.27%
    mpki                             |       4.27 |       4.20 |       4.10 |       4.64
  Cache L3                           |            |            |            |           
    num cache accesses               |        840 |        852 |        787 |        934
    num cache misses                 |        628 |        666 |        585 |        731
    miss rate                        |     74.76% |     78.17% |     74.33% |     78.27%
    mpki                             |       4.27 |       4.20 |       4.10 |       4.64
DRAM summary                         |            |            |            |           
  num dram accesses                  |        856 |          0 |          0 |          0
  average dram access latency (ns)   |      62.52 |        inf |        inf |        inf
  average dram queueing delay        |       9.09 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      7.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |        169 |        192 |        159 |        182
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |        241 |        273 |        228 |        321
