                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    1491701 |    1502419 |    1590365 |    1234413 |    1631352 |     839818 |    1294417 |    1675825
  Cycles                             |    2165191 |    2165191 |    2165191 |    2165191 |    2165191 |    2165191 |    2165191 |    2165191
  IPC                                |       0.69 |       0.69 |       0.73 |       0.57 |       0.75 |       0.39 |       0.60 |       0.77
  Time (ns)                          |     813982 |     813982 |     813982 |     813982 |     813982 |     813982 |     813982 |     813982
  Idle time (ns)                     |     206437 |     138024 |     106934 |     251862 |      88489 |     419311 |     229435 |      83191
  Idle time (%)                      |      25.4% |      17.0% |      13.1% |      30.9% |      10.9% |      51.5% |      28.2% |      10.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     339610 |     342242 |     364328 |     275340 |     374502 |     176706 |     290356 |     385638
  num incorrect                      |        316 |        366 |        271 |        274 |        340 |        254 |        262 |        328
  misprediction rate                 |      0.09% |      0.11% |      0.07% |      0.10% |      0.09% |      0.14% |      0.09% |      0.08%
  mpki                               |       0.21 |       0.24 |       0.17 |       0.22 |       0.21 |       0.30 |       0.20 |       0.20
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      30018 |      30016 |      30016 |      30013 |      30016 |      30016 |      30013 |      30011
    num cache misses                 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         14
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     777880 |     783248 |     827224 |     649245 |     847715 |     451949 |     679249 |     869950
    num cache misses                 |       5291 |       5487 |       5810 |       4426 |       6027 |       2942 |       4520 |       6056
    miss rate                        |      0.68% |      0.70% |      0.70% |      0.68% |      0.71% |      0.65% |      0.67% |      0.70%
    mpki                             |       3.55 |       3.65 |       3.65 |       3.59 |       3.69 |       3.50 |       3.49 |       3.61
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       6175 |       6407 |       6686 |       5313 |       6874 |       3827 |       5386 |       6844
    num cache misses                 |       5306 |       5502 |       5825 |       4441 |       6042 |       2957 |       4535 |       6070
    miss rate                        |     85.93% |     85.87% |     87.12% |     83.59% |     87.90% |     77.27% |     84.20% |     88.69%
    mpki                             |       3.56 |       3.66 |       3.66 |       3.60 |       3.70 |       3.52 |       3.50 |       3.62
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       6175 |       6407 |       6686 |       5313 |       6874 |       3827 |       5386 |       6844
    num cache misses                 |       5306 |       5502 |       5825 |       4441 |       6042 |       2957 |       4535 |       6070
    miss rate                        |     85.93% |     85.87% |     87.12% |     83.59% |     87.90% |     77.27% |     84.20% |     88.69%
    mpki                             |       3.56 |       3.66 |       3.66 |       3.60 |       3.70 |       3.52 |       3.50 |       3.62
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      27923 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      64.40 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      10.97 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     28.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       2943 |       3615 |       3768 |       2975 |       3868 |       1913 |       3143 |       3863
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1695 |       1270 |       1494 |        974 |       1583 |        625 |        955 |       1638
