                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   88610892 |   78860247 |   85188063 |   71580826 |   79583295 |   68837908 |   86644212 |   85913840 |   86966507 |   75916223 |   85933967 |   85168003 |   85107221 |   83467033 |   83622994 |   77913547
  Cycles                             |   53062150 |   53062150 |   53062150 |   53062150 |   53062150 |   53062150 |   53062150 |   53062150 |   53062150 |   53062150 |   53062150 |   53062150 |   53062150 |   53062150 |   53062150 |   53062150
  IPC                                |       1.67 |       1.49 |       1.61 |       1.35 |       1.50 |       1.30 |       1.63 |       1.62 |       1.64 |       1.43 |       1.62 |       1.61 |       1.60 |       1.57 |       1.58 |       1.47
  Time (ns)                          |   19948177 |   19948177 |   19948177 |   19948177 |   19948177 |   19948177 |   19948177 |   19948177 |   19948177 |   19948177 |   19948177 |   19948177 |   19948177 |   19948177 |   19948177 |   19948177
  Idle time (ns)                     |      71727 |    1869043 |     525659 |    3393947 |    1691189 |    3956694 |     208719 |     354814 |     129869 |    2440520 |     344466 |     478522 |     497170 |     839427 |     788311 |    1997628
  Idle time (%)                      |       0.4% |       9.4% |       2.6% |      17.0% |       8.5% |      19.8% |       1.0% |       1.8% |       0.7% |      12.2% |       1.7% |       2.4% |       2.5% |       4.2% |       4.0% |      10.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   21916307 |   19478652 |   21060576 |   17658911 |   19659419 |   16973162 |   21424627 |   21242087 |   21505167 |   18742756 |   21247036 |   21055546 |   21040359 |   20630350 |   20669373 |   19242008
  num incorrect                      |        894 |        900 |        937 |        788 |        895 |        816 |        908 |        867 |        954 |        793 |        953 |        936 |        932 |        901 |        872 |        873
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     210016 |     210016 |     210012 |     210016 |     210016 |     210012 |     210016 |     210016 |     210013 |     210016 |     210013 |     210016 |     210016 |     210013 |     210013 |     210012
    num cache misses                 |         13 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   44562460 |   39687154 |   42851062 |   36047445 |   40048678 |   34675987 |   43579131 |   43213953 |   43740277 |   38215144 |   43224013 |   42841026 |   42810638 |   41990543 |   42068526 |   39213802
    num cache misses                 |      24906 |      22701 |      24544 |      20813 |      22971 |      20353 |      24840 |      24709 |      24977 |      22019 |      24592 |      24479 |      24389 |      23946 |      24048 |      22389
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.28 |       0.29 |       0.29 |       0.29 |       0.29 |       0.30 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      25834 |      23833 |      25649 |      21956 |      24069 |      21494 |      25918 |      25800 |      26051 |      23131 |      25683 |      25575 |      25467 |      25028 |      25144 |      23513
    num cache misses                 |      24919 |      22716 |      24559 |      20828 |      22986 |      20368 |      24855 |      24724 |      24992 |      22034 |      24607 |      24494 |      24404 |      23961 |      24063 |      22404
