                                     | Core 0     | Core 1    
  Instructions                       |      97358 |      97309
  Cycles                             |     612192 |     612192
  IPC                                |       0.16 |       0.16
  Time (ns)                          |     230148 |     230148
  Idle time (ns)                     |     205146 |     204749
  Idle time (%)                      |      89.1% |      89.0%
Branch predictor stats               |            |           
  num correct                        |      10821 |      10816
  num incorrect                      |        429 |        432
  misprediction rate                 |      3.81% |      3.84%
  mpki                               |       4.41 |       4.44
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      17562 |      17559
    num cache misses                 |         22 |         25
    miss rate                        |      0.13% |      0.14%
    mpki                             |       0.23 |       0.26
  Cache L1-D                         |            |           
    num cache accesses               |      51968 |      51946
    num cache misses                 |       1673 |       1710
    miss rate                        |      3.22% |      3.29%
    mpki                             |      17.18 |      17.57
  Cache L2                           |            |           
    num cache accesses               |       2370 |       2374
    num cache misses                 |         26 |         22
    miss rate                        |      1.10% |      0.93%
    mpki                             |       0.27 |       0.23
  Cache L3                           |            |           
    num cache accesses               |         27 |         26
    num cache misses                 |         26 |         22
    miss rate                        |     96.30% |     84.62%
    mpki                             |       0.27 |       0.23
DRAM summary                         |            |           
  num dram accesses                  |         45 |          0
  average dram access latency (ns)   |     124.58 |        inf
  average dram queueing delay        |      71.15 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          8
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
