                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      97379 |      97323 |      97486 |      97930
  Cycles                             |     682353 |     682353 |     682353 |     682353
  IPC                                |       0.14 |       0.14 |       0.14 |       0.14
  Time (ns)                          |     256524 |     256524 |     256524 |     256524
  Idle time (ns)                     |     231087 |     230932 |     230343 |     230214
  Idle time (%)                      |      90.1% |      90.0% |      89.8% |      89.7%
Branch predictor stats               |            |            |            |           
  num correct                        |      10789 |      10791 |      10766 |      10809
  num incorrect                      |        462 |        459 |        483 |        503
  misprediction rate                 |      4.11% |      4.08% |      4.29% |      4.45%
  mpki                               |       4.74 |       4.72 |       4.95 |       5.14
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      17561 |      17561 |      17586 |      17621
    num cache misses                 |         24 |         25 |         25 |         24
    miss rate                        |      0.14% |      0.14% |      0.14% |      0.14%
    mpki                             |       0.25 |       0.26 |       0.26 |       0.25
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      51965 |      51946 |      52030 |      52182
    num cache misses                 |       2219 |       2115 |       1976 |       2078
    miss rate                        |      4.27% |      4.07% |      3.80% |      3.98%
    mpki                             |      22.79 |      21.73 |      20.27 |      21.22
  Cache L2                           |            |            |            |           
    num cache accesses               |       2877 |       2998 |       2638 |       2762
    num cache misses                 |         24 |         20 |         21 |         13
    miss rate                        |      0.83% |      0.67% |      0.80% |      0.47%
    mpki                             |       0.25 |       0.21 |       0.22 |       0.13
  Cache L3                           |            |            |            |           
    num cache accesses               |         25 |         23 |         25 |         16
    num cache misses                 |         24 |         20 |         21 |         13
    miss rate                        |     96.00% |     86.96% |     84.00% |     81.25%
    mpki                             |       0.25 |       0.21 |       0.22 |       0.13
DRAM summary                         |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0
  average dram access latency (ns)   |     156.38 |        inf |        inf |        inf
  average dram queueing delay        |     102.95 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          6 |          7 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
