                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     101203 |     100647 |     100251 |     100750 |     100806 |     100402 |     100402 |     100435
  Cycles                             |    1745156 |    1745156 |    1745156 |    1745156 |    1745156 |    1745156 |    1745156 |    1745156
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |     656074 |     656074 |     656074 |     656074 |     656074 |     656074 |     656074 |     656074
  Idle time (ns)                     |     591049 |     590946 |     594781 |     590336 |     591943 |     597368 |     590983 |     593345
  Idle time (%)                      |      90.1% |      90.1% |      90.7% |      90.0% |      90.2% |      91.1% |      90.1% |      90.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      10740 |      10822 |      10806 |      10737 |      10772 |      10802 |      10727 |      10849
  num incorrect                      |        733 |        662 |        660 |        726 |        708 |        656 |        707 |        638
  misprediction rate                 |      6.39% |      5.76% |      5.76% |      6.33% |      6.17% |      5.73% |      6.18% |      5.55%
  mpki                               |       7.24 |       6.58 |       6.58 |       7.21 |       7.02 |       6.53 |       7.04 |       6.35
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      18029 |      17927 |      17871 |      17972 |      17959 |      17894 |      17913 |      17888
    num cache misses                 |         22 |         25 |         25 |         25 |         24 |         24 |         24 |         24
    miss rate                        |      0.12% |      0.14% |      0.14% |      0.14% |      0.13% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.22 |       0.25 |       0.25 |       0.25 |       0.24 |       0.24 |       0.24 |       0.24
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      53561 |      53273 |      53096 |      53360 |      53356 |      53156 |      53194 |      53154
    num cache misses                 |       2584 |       2679 |       2571 |       2616 |       2646 |       2286 |       2547 |       2647
    miss rate                        |      4.82% |      5.03% |      4.84% |      4.90% |      4.96% |      4.30% |      4.79% |      4.98%
    mpki                             |      25.53 |      26.62 |      25.65 |      25.97 |      26.25 |      22.77 |      25.37 |      26.36
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3349 |       3383 |       3272 |       3323 |       3384 |       2930 |       3202 |       3355
    num cache misses                 |       1241 |       1280 |       1155 |       1269 |       1320 |       1123 |       1296 |       1291
    miss rate                        |     37.06% |     37.84% |     35.30% |     38.19% |     39.01% |     38.33% |     40.47% |     38.48%
    mpki                             |      12.26 |      12.72 |      11.52 |      12.60 |      13.09 |      11.19 |      12.91 |      12.85
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1704 |       1731 |       1583 |       1712 |       1790 |       1478 |       1723 |       1740
    num cache misses                 |         23 |         15 |         12 |         23 |         11 |         15 |         13 |         14
    miss rate                        |      1.35% |      0.87% |      0.76% |      1.34% |      0.61% |      1.01% |      0.75% |      0.80%
    mpki                             |       0.23 |       0.15 |       0.12 |       0.23 |       0.11 |       0.15 |       0.13 |       0.14
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         82 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     198.14 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     144.71 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          8 |          6 |          8 |          7 |          7 |          6 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
