                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     104594 |     105507 |     104555 |     104234 |     104512 |     104967 |     105008 |     104365 |     104769 |     104674 |     102466 |     104320 |     104672 |     105171 |     104864 |     103614
  Cycles                             |    4372999 |    4372999 |    4372999 |    4372999 |    4372999 |    4372999 |    4372999 |    4372999 |    4372999 |    4372999 |    4372999 |    4372999 |    4372999 |    4372999 |    4372999 |    4372999
  IPC                                |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Time (ns)                          |    1643985 |    1643985 |    1643985 |    1643985 |    1643985 |    1643985 |    1643985 |    1643985 |    1643985 |    1643985 |    1643985 |    1643985 |    1643985 |    1643985 |    1643985 |    1643985
  Idle time (ns)                     |    1541489 |    1532606 |    1537595 |    1542190 |    1543715 |    1534529 |    1536670 |    1540986 |    1538044 |    1541277 |    1556088 |    1540063 |    1541179 |    1538509 |    1541803 |    1546249
  Idle time (%)                      |      93.8% |      93.2% |      93.5% |      93.8% |      93.9% |      93.3% |      93.5% |      93.7% |      93.6% |      93.8% |      94.7% |      93.7% |      93.7% |      93.6% |      93.8% |      94.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      10825 |      10874 |      10773 |      10856 |      10880 |      10880 |      10861 |      10777 |      10796 |      10868 |      10836 |      10859 |      10802 |      10847 |      10886 |      10804
  num incorrect                      |        904 |        925 |        926 |        876 |        879 |        897 |        902 |        933 |        927 |        914 |        727 |        875 |        934 |        923 |        888 |        862
  misprediction rate                 |      7.71% |      7.84% |      7.92% |      7.47% |      7.48% |      7.62% |      7.67% |      7.97% |      7.91% |      7.76% |      6.29% |      7.46% |      7.96% |      7.84% |      7.54% |      7.39%
  mpki                               |       8.64 |       8.77 |       8.86 |       8.40 |       8.41 |       8.55 |       8.59 |       8.94 |       8.85 |       8.73 |       7.10 |       8.39 |       8.92 |       8.78 |       8.47 |       8.32
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      18380 |      18515 |      18403 |      18321 |      18343 |      18440 |      18449 |      18378 |      18437 |      18357 |      18178 |      18363 |      18401 |      18460 |      18393 |      18290
    num cache misses                 |         24 |         25 |         25 |         25 |         24 |         25 |         24 |         25 |         24 |         25 |         24 |         25 |         25 |         24 |         23 |         25
    miss rate                        |      0.13% |      0.14% |      0.14% |      0.14% |      0.13% |      0.14% |      0.13% |      0.14% |      0.13% |      0.14% |      0.13% |      0.14% |      0.14% |      0.13% |      0.13% |      0.14%
    mpki                             |       0.23 |       0.24 |       0.24 |       0.24 |       0.23 |       0.24 |       0.23 |       0.24 |       0.23 |       0.24 |       0.23 |       0.24 |       0.24 |       0.23 |       0.22 |       0.24
