                                     | Core 0     | Core 1    
  Instructions                       |    1402960 |    1403003
  Cycles                             |   12720138 |   12720138
  IPC                                |       0.11 |       0.11
  Time (ns)                          |    4782007 |    4782007
  Idle time (ns)                     |    3421427 |    3421557
  Idle time (%)                      |      71.5% |      71.6%
Branch predictor stats               |            |           
  num correct                        |     110661 |     110664
  num incorrect                      |        488 |        496
  misprediction rate                 |      0.44% |      0.45%
  mpki                               |       0.35 |       0.35
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      19435 |      19436
    num cache misses                 |         24 |         26
    miss rate                        |      0.12% |      0.13%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |     950878 |     950885
    num cache misses                 |       2064 |       2212
    miss rate                        |      0.22% |      0.23%
    mpki                             |       1.47 |       1.58
  Cache L2                           |            |           
    num cache accesses               |       2397 |       2399
    num cache misses                 |         33 |         15
    miss rate                        |      1.38% |      0.63%
    mpki                             |       0.02 |       0.01
  Cache L3                           |            |           
    num cache accesses               |         35 |         18
    num cache misses                 |         33 |         15
    miss rate                        |     94.29% |     83.33%
    mpki                             |       0.02 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |         46 |          0
  average dram access latency (ns)   |      97.59 |        inf
  average dram queueing delay        |      44.16 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          8 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
