                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1402425 |    1403378 |    1403269 |    1403061
  Cycles                             |   25169664 |   25169664 |   25169664 |   25169664
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |    9462280 |    9462280 |    9462280 |    9462280
  Idle time (ns)                     |    8102286 |    8099078 |    8099640 |    8100277
  Idle time (%)                      |      85.6% |      85.6% |      85.6% |      85.6%
Branch predictor stats               |            |            |            |           
  num correct                        |     110590 |     110614 |     110633 |     110639
  num incorrect                      |        482 |        575 |        546 |        558
  misprediction rate                 |      0.43% |      0.52% |      0.49% |      0.50%
  mpki                               |       0.34 |       0.41 |       0.39 |       0.40
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      19438 |      19500 |      19482 |      19436
    num cache misses                 |         24 |         24 |         24 |         23
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     950728 |     951044 |     951000 |     950870
    num cache misses                 |       2100 |       2226 |       2212 |       2200
    miss rate                        |      0.22% |      0.23% |      0.23% |      0.23%
    mpki                             |       1.50 |       1.59 |       1.58 |       1.57
  Cache L2                           |            |            |            |           
    num cache accesses               |       2333 |       2504 |       2506 |       2481
    num cache misses                 |         23 |          8 |         25 |         10
    miss rate                        |      0.99% |      0.32% |      1.00% |      0.40%
    mpki                             |       0.02 |       0.01 |       0.02 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |         24 |         11 |         29 |         13
    num cache misses                 |         23 |          8 |         25 |         10
    miss rate                        |     95.83% |     72.73% |     86.21% |     76.92%
    mpki                             |       0.02 |       0.01 |       0.02 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0
  average dram access latency (ns)   |     130.75 |        inf |        inf |        inf
  average dram queueing delay        |      77.32 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |          4 |          7 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
