                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     229221 |     229310 |     228370 |     229658 |     228840 |     228497 |     230219 |     229277
  Cycles                             |    5261714 |    5261714 |    5261714 |    5261714 |    5261714 |    5261714 |    5261714 |    5261714
  IPC                                |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
  Time (ns)                          |    1978088 |    1978088 |    1978088 |    1978088 |    1978088 |    1978088 |    1978088 |    1978088
  Idle time (ns)                     |    1805477 |    1805628 |    1807675 |    1806202 |    1804659 |    1804173 |    1798784 |    1799868
  Idle time (%)                      |      91.3% |      91.3% |      91.4% |      91.3% |      91.2% |      91.2% |      90.9% |      91.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      19964 |      19963 |      19881 |      19929 |      19963 |      19836 |      19995 |      19852
  num incorrect                      |       1244 |       1267 |       1208 |       1290 |       1226 |       1315 |       1263 |       1294
  misprediction rate                 |      5.87% |      5.97% |      5.73% |      6.08% |      5.79% |      6.22% |      5.94% |      6.12%
  mpki                               |       5.43 |       5.53 |       5.29 |       5.62 |       5.36 |       5.75 |       5.49 |       5.64
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      19257 |      19248 |      19233 |      19367 |      19211 |      19196 |      19420 |      19348
    num cache misses                 |         24 |         23 |         24 |         25 |         25 |         25 |         25 |         25
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.10 |       0.10 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     139099 |     139123 |     138837 |     139342 |     138937 |     138828 |     139547 |     139220
    num cache misses                 |       3568 |       3503 |       3489 |       3594 |       3407 |       3444 |       3648 |       3463
    miss rate                        |      2.57% |      2.52% |      2.51% |      2.58% |      2.45% |      2.48% |      2.61% |      2.49%
    mpki                             |      15.57 |      15.28 |      15.28 |      15.65 |      14.89 |      15.07 |      15.85 |      15.10
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4401 |       4298 |       4283 |       4378 |       4214 |       4271 |       4563 |       4341
    num cache misses                 |       1649 |       1686 |       1581 |       1679 |       1534 |       1550 |       1661 |       1555
    miss rate                        |     37.47% |     39.23% |     36.91% |     38.35% |     36.40% |     36.29% |     36.40% |     35.82%
    mpki                             |       7.19 |       7.35 |       6.92 |       7.31 |       6.70 |       6.78 |       7.21 |       6.78
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2149 |       2185 |       2031 |       2144 |       2056 |       2092 |       2223 |       2133
    num cache misses                 |         32 |         14 |         15 |         12 |         12 |         17 |         13 |         12
    miss rate                        |      1.49% |      0.64% |      0.74% |      0.56% |      0.58% |      0.81% |      0.58% |      0.56%
    mpki                             |       0.14 |       0.06 |       0.07 |       0.05 |       0.05 |       0.07 |       0.06 |       0.05
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         82 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     177.13 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     123.70 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          7 |          5 |          4 |          8 |          4 |          8 |          7 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
