                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     104888 |     105867 |     103129 |     106015 |     106471 |     106416 |     104956 |     105155 |     106205 |     105928 |     105957 |     106050 |     105675 |     105966 |     105767 |     105730
  Cycles                             |    4103028 |    4103028 |    4103028 |    4103028 |    4103028 |    4103028 |    4103028 |    4103028 |    4103028 |    4103028 |    4103028 |    4103028 |    4103028 |    4103028 |    4103028 |    4103028
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |    1542492 |    1542492 |    1542492 |    1542492 |    1542492 |    1542492 |    1542492 |    1542492 |    1542492 |    1542492 |    1542492 |    1542492 |    1542492 |    1542492 |    1542492 |    1542492
  Idle time (ns)                     |    1441615 |    1435768 |    1451925 |    1434800 |    1433493 |    1438970 |    1443358 |    1440398 |    1438147 |    1441443 |    1439514 |    1439002 |    1438643 |    1438365 |    1438581 |    1439753
  Idle time (%)                      |      93.5% |      93.1% |      94.1% |      93.0% |      92.9% |      93.3% |      93.6% |      93.4% |      93.2% |      93.4% |      93.3% |      93.3% |      93.3% |      93.2% |      93.3% |      93.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      10921 |      10870 |      10831 |      10903 |      10856 |      10910 |      10898 |      10839 |      10892 |      10919 |      10940 |      10882 |      10912 |      10927 |      10886 |      10956
  num incorrect                      |        846 |        922 |        782 |        924 |        986 |        906 |        862 |        925 |        941 |        900 |        917 |        968 |        915 |        914 |        899 |        872
  misprediction rate                 |      7.19% |      7.82% |      6.73% |      7.81% |      8.33% |      7.67% |      7.33% |      7.86% |      7.95% |      7.61% |      7.73% |      8.17% |      7.74% |      7.72% |      7.63% |      7.37%
  mpki                               |       8.07 |       8.71 |       7.58 |       8.72 |       9.26 |       8.51 |       8.21 |       8.80 |       8.86 |       8.50 |       8.65 |       9.13 |       8.66 |       8.63 |       8.50 |       8.25
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      18417 |      18571 |      18239 |      18558 |      18660 |      18661 |      18429 |      18453 |      18598 |      18567 |      18536 |      18566 |      18500 |      18540 |      18546 |      18506
    num cache misses                 |         24 |         24 |         24 |         23 |         25 |         24 |         24 |         25 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24
    miss rate                        |      0.13% |      0.13% |      0.13% |      0.12% |      0.13% |      0.13% |      0.13% |      0.14% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.23 |       0.23 |       0.23 |       0.22 |       0.23 |       0.23 |       0.23 |       0.24 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      54979 |      55449 |      54304 |      55474 |      55696 |      55680 |      55016 |      55121 |      55567 |      55450 |      55409 |      55463 |      55303 |      55443 |      55391 |      55326
    num cache misses                 |       3701 |       3776 |       3052 |       3922 |       3803 |       3605 |       3470 |       3594 |       3727 |       3614 |       3731 |       3694 |       3689 |       3813 |       3712 |       3736
    miss rate                        |      6.73% |      6.81% |      5.62% |      7.07% |      6.83% |      6.47% |      6.31% |      6.52% |      6.71% |      6.52% |      6.73% |      6.66% |      6.67% |      6.88% |      6.70% |      6.75%
    mpki                             |      35.29 |      35.67 |      29.59 |      36.99 |      35.72 |      33.88 |      33.06 |      34.18 |      35.09 |      34.12 |      35.21 |      34.83 |      34.91 |      35.98 |      35.10 |      35.34
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4853 |       4929 |       3985 |       5151 |       5024 |       4741 |       4541 |       4694 |       4892 |       4780 |       4856 |       4917 |       4818 |       4987 |       4850 |       4917
    num cache misses                 |       3002 |       3135 |       2537 |       3288 |       3192 |       3023 |       2878 |       3014 |       3079 |       2990 |       2911 |       2958 |       2926 |       3045 |       2944 |       3066
