                                     | Core 0     | Core 1    
  Instructions                       |     219629 |     219820
  Cycles                             |    1386024 |    1386024
  IPC                                |       0.16 |       0.16
  Time (ns)                          |     521062 |     521062
  Idle time (ns)                     |     386763 |     386973
  Idle time (%)                      |      74.2% |      74.3%
Branch predictor stats               |            |           
  num correct                        |      19626 |      19697
  num incorrect                      |        891 |        869
  misprediction rate                 |      4.34% |      4.23%
  mpki                               |       4.06 |       3.95
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      18218 |      18226
    num cache misses                 |         24 |         24
    miss rate                        |      0.13% |      0.13%
    mpki                             |       0.11 |       0.11
  Cache L1-D                         |            |           
    num cache accesses               |     135335 |     135387
    num cache misses                 |       1479 |       1704
    miss rate                        |      1.09% |      1.26%
    mpki                             |       6.73 |       7.75
  Cache L2                           |            |           
    num cache accesses               |       2284 |       2285
    num cache misses                 |         28 |         19
    miss rate                        |      1.23% |      0.83%
    mpki                             |       0.13 |       0.09
  Cache L3                           |            |           
    num cache accesses               |         30 |         22
    num cache misses                 |         28 |         19
    miss rate                        |     93.33% |     86.36%
    mpki                             |       0.13 |       0.09
DRAM summary                         |            |           
  num dram accesses                  |         45 |          0
  average dram access latency (ns)   |      95.99 |        inf
  average dram queueing delay        |      42.56 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          7 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
