                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1401915 |    1401313 |    1402413 |    1402436
  Cycles                             |   25011834 |   25011834 |   25011834 |   25011834
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |    9402945 |    9402945 |    9402945 |    9402945
  Idle time (ns)                     |    8047043 |    8046975 |    8046586 |    8047909
  Idle time (%)                      |      85.6% |      85.6% |      85.6% |      85.6%
Branch predictor stats               |            |            |            |           
  num correct                        |     110800 |     110589 |     110751 |     110787
  num incorrect                      |        372 |        371 |        365 |        335
  misprediction rate                 |      0.33% |      0.33% |      0.33% |      0.30%
  mpki                               |       0.27 |       0.26 |       0.26 |       0.24
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      19202 |      19302 |      19305 |      19296
    num cache misses                 |         22 |         24 |         24 |         24
    miss rate                        |      0.11% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     950305 |     950322 |     950638 |     950638
    num cache misses                 |       2136 |       1982 |       2175 |       2200
    miss rate                        |      0.22% |      0.21% |      0.23% |      0.23%
    mpki                             |       1.52 |       1.41 |       1.55 |       1.57
  Cache L2                           |            |            |            |           
    num cache accesses               |       2350 |       2175 |       2353 |       2365
    num cache misses                 |         29 |         14 |         18 |          9
    miss rate                        |      1.23% |      0.64% |      0.76% |      0.38%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |         31 |         17 |         21 |         12
    num cache misses                 |         29 |         14 |         18 |          9
    miss rate                        |     93.55% |     82.35% |     85.71% |     75.00%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0
  average dram access latency (ns)   |     114.50 |        inf |        inf |        inf
  average dram queueing delay        |      61.07 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          7 |          4 |          6 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
