                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     100637 |     100561 |     100284 |     101586 |     100090 |     100192 |     100641 |     100607
  Cycles                             |    1527778 |    1527778 |    1527778 |    1527778 |    1527778 |    1527778 |    1527778 |    1527778
  IPC                                |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Time (ns)                          |     574353 |     574353 |     574353 |     574353 |     574353 |     574353 |     574353 |     574353
  Idle time (ns)                     |     508080 |     508046 |     510483 |     511522 |     512827 |     513458 |     507204 |     509976
  Idle time (%)                      |      88.5% |      88.5% |      88.9% |      89.1% |      89.3% |      89.4% |      88.3% |      88.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      10752 |      10744 |      10771 |      10766 |      10776 |      10811 |      10765 |      10771
  num incorrect                      |        730 |        693 |        666 |        764 |        667 |        643 |        698 |        689
  misprediction rate                 |      6.36% |      6.06% |      5.82% |      6.63% |      5.83% |      5.61% |      6.09% |      6.01%
  mpki                               |       7.25 |       6.89 |       6.64 |       7.52 |       6.66 |       6.42 |       6.94 |       6.85
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      17929 |      17960 |      17899 |      18073 |      17868 |      17881 |      17949 |      17952
    num cache misses                 |         24 |         24 |         24 |         25 |         24 |         25 |         24 |         25
    miss rate                        |      0.13% |      0.13% |      0.13% |      0.14% |      0.13% |      0.14% |      0.13% |      0.14%
    mpki                             |       0.24 |       0.24 |       0.24 |       0.25 |       0.24 |       0.25 |       0.24 |       0.25
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      53278 |      53291 |      53150 |      53711 |      53046 |      53094 |      53304 |      53284
    num cache misses                 |       2827 |       2903 |       2712 |       2709 |       2573 |       2665 |       2795 |       2553
    miss rate                        |      5.31% |      5.45% |      5.10% |      5.04% |      4.85% |      5.02% |      5.24% |      4.79%
    mpki                             |      28.09 |      28.87 |      27.04 |      26.67 |      25.71 |      26.60 |      27.77 |      25.38
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3590 |       3690 |       3324 |       3396 |       3339 |       3411 |       3622 |       3311
    num cache misses                 |       1366 |       1288 |       1338 |       1220 |       1148 |       1155 |       1358 |       1200
    miss rate                        |     38.05% |     34.91% |     40.25% |     35.92% |     34.38% |     33.86% |     37.49% |     36.24%
    mpki                             |      13.57 |      12.81 |      13.34 |      12.01 |      11.47 |      11.53 |      13.49 |      11.93
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1769 |       1716 |       1678 |       1606 |       1612 |       1559 |       1909 |       1694
    num cache misses                 |         15 |          7 |          9 |         11 |         22 |          9 |          8 |          8
    miss rate                        |      0.85% |      0.41% |      0.54% |      0.68% |      1.36% |      0.58% |      0.42% |      0.47%
    mpki                             |       0.15 |       0.07 |       0.09 |       0.11 |       0.22 |       0.09 |       0.08 |       0.08
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         83 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     170.75 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     117.33 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          3 |          4 |          6 |          9 |          6 |          3 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
