                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     106477 |     106469 |     105064 |     105951 |     106048 |     105944 |     103873 |     105173 |     105870 |     105834 |     104032 |     105558 |     106195 |     105710 |     106073 |     105386
  Cycles                             |    3915736 |    3915736 |    3915736 |    3915736 |    3915736 |    3915736 |    3915736 |    3915736 |    3915736 |    3915736 |    3915736 |    3915736 |    3915736 |    3915736 |    3915736 |    3915736
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |    1472081 |    1472081 |    1472081 |    1472081 |    1472081 |    1472081 |    1472081 |    1472081 |    1472081 |    1472081 |    1472081 |    1472081 |    1472081 |    1472081 |    1472081 |    1472081
  Idle time (ns)                     |    1356307 |    1358717 |    1362392 |    1356467 |    1360210 |    1352689 |    1370246 |    1364195 |    1362671 |    1359670 |    1373412 |    1364221 |    1367520 |    1359579 |    1357665 |    1359700
  Idle time (%)                      |      92.1% |      92.3% |      92.5% |      92.1% |      92.4% |      91.9% |      93.1% |      92.7% |      92.6% |      92.4% |      93.3% |      92.7% |      92.9% |      92.4% |      92.2% |      92.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      10843 |      10870 |      10923 |      10843 |      10839 |      10868 |      10847 |      10830 |      10895 |      10863 |      10857 |      10827 |      10875 |      10861 |      10924 |      10810
  num incorrect                      |       1030 |        989 |        869 |        972 |        969 |        950 |        810 |        932 |        935 |        954 |        824 |        968 |        966 |        969 |        925 |        944
  misprediction rate                 |      8.68% |      8.34% |      7.37% |      8.23% |      8.21% |      8.04% |      6.95% |      7.92% |      7.90% |      8.07% |      7.05% |      8.21% |      8.16% |      8.19% |      7.81% |      8.03%
  mpki                               |       9.67 |       9.29 |       8.27 |       9.17 |       9.14 |       8.97 |       7.80 |       8.86 |       8.83 |       9.01 |       7.92 |       9.17 |       9.10 |       9.17 |       8.72 |       8.96
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      18603 |      18620 |      18438 |      18573 |      18593 |      18556 |      18320 |      18478 |      18541 |      18533 |      18353 |      18514 |      18600 |      18502 |      18565 |      18519
    num cache misses                 |         24 |         24 |         25 |         24 |         24 |         24 |         25 |         24 |         24 |         24 |         25 |         24 |         25 |         25 |         24 |         25
    miss rate                        |      0.13% |      0.13% |      0.14% |      0.13% |      0.13% |      0.13% |      0.14% |      0.13% |      0.13% |      0.13% |      0.14% |      0.13% |      0.13% |      0.14% |      0.13% |      0.13%
    mpki                             |       0.23 |       0.23 |       0.24 |       0.23 |       0.23 |       0.23 |       0.24 |       0.23 |       0.23 |       0.23 |       0.24 |       0.23 |       0.24 |       0.24 |       0.23 |       0.24
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      55647 |      55655 |      55053 |      55474 |      55517 |      55439 |      54617 |      55146 |      55392 |      55377 |      54686 |      55273 |      55552 |      55331 |      55474 |      55263
    num cache misses                 |       4319 |       4153 |       4098 |       4169 |       4011 |       4307 |       3577 |       3939 |       4086 |       4036 |       3617 |       3827 |       3880 |       4076 |       4150 |       4020
    miss rate                        |      7.76% |      7.46% |      7.44% |      7.52% |      7.22% |      7.77% |      6.55% |      7.14% |      7.38% |      7.29% |      6.61% |      6.92% |      6.98% |      7.37% |      7.48% |      7.27%
    mpki                             |      40.56 |      39.01 |      39.00 |      39.35 |      37.82 |      40.65 |      34.44 |      37.45 |      38.59 |      38.14 |      34.77 |      36.25 |      36.54 |      38.56 |      39.12 |      38.15
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       5675 |       5413 |       5370 |       5467 |       5271 |       5619 |       4687 |       5129 |       5429 |       5342 |       4806 |       5043 |       5111 |       5352 |       5409 |       5322
    num cache misses                 |       3536 |       3483 |       3491 |       3460 |       3381 |       3666 |       2995 |       3261 |       3403 |       3365 |       3069 |       3132 |       3139 |       3368 |       3424 |       3305
    miss rate                        |     62.31% |     64.35% |     65.01% |     63.29% |     64.14% |     65.24% |     63.90% |     63.58% |     62.68% |     62.99% |     63.86% |     62.11% |     61.42% |     62.93% |     63.30% |     62.10%
    mpki                             |      33.21 |      32.71 |      33.23 |      32.66 |      31.88 |      34.60 |      28.83 |      31.01 |      32.14 |      31.80 |      29.50 |      29.67 |      29.56 |      31.86 |      32.28 |      31.36
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4754 |       4593 |       4594 |       4606 |       4476 |       4821 |       3938 |       4275 |       4606 |       4550 |       4109 |       4197 |       4186 |       4480 |       4494 |       4431
    num cache misses                 |       2584 |       2603 |       2615 |       2666 |       2555 |       2616 |       2282 |       2377 |       2475 |       2497 |       2293 |       2316 |       2300 |       2524 |       2527 |       2468
    miss rate                        |     54.35% |     56.67% |     56.92% |     57.88% |     57.08% |     54.26% |     57.95% |     55.60% |     53.73% |     54.88% |     55.80% |     55.18% |     54.95% |     56.34% |     56.23% |     55.70%
    mpki                             |      24.27 |      24.45 |      24.89 |      25.16 |      24.09 |      24.69 |      21.97 |      22.60 |      23.38 |      23.59 |      22.04 |      21.94 |      21.66 |      23.88 |      23.82 |      23.42
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        130 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     304.77 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     251.34 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
