                                     | Core 0     | Core 1    
  Instructions                       |    1402531 |    1402935
  Cycles                             |   12585623 |   12585623
  IPC                                |       0.11 |       0.11
  Time (ns)                          |    4731437 |    4731437
  Idle time (ns)                     |    3369735 |    3369910
  Idle time (%)                      |      71.2% |      71.2%
Branch predictor stats               |            |           
  num correct                        |     110628 |     110608
  num incorrect                      |        546 |        516
  misprediction rate                 |      0.49% |      0.46%
  mpki                               |       0.39 |       0.37
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      19388 |      19503
    num cache misses                 |         22 |         25
    miss rate                        |      0.11% |      0.13%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |     950635 |     950915
    num cache misses                 |       2022 |       2186
    miss rate                        |      0.21% |      0.23%
    mpki                             |       1.44 |       1.56
  Cache L2                           |            |           
    num cache accesses               |       2400 |       2402
    num cache misses                 |         33 |         14
    miss rate                        |      1.38% |      0.58%
    mpki                             |       0.02 |       0.01
  Cache L3                           |            |           
    num cache accesses               |         35 |         17
    num cache misses                 |         33 |         14
    miss rate                        |     94.29% |     82.35%
    mpki                             |       0.02 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |         45 |          0
  average dram access latency (ns)   |      98.58 |        inf
  average dram queueing delay        |      45.15 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          8 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
