                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     223775 |     223846 |     224108 |     224120
  Cycles                             |    2601315 |    2601315 |    2601315 |    2601315
  IPC                                |       0.09 |       0.09 |       0.09 |       0.09
  Time (ns)                          |     977938 |     977938 |     977938 |     977938
  Idle time (ns)                     |     835217 |     834310 |     833623 |     832947
  Idle time (%)                      |      85.4% |      85.3% |      85.2% |      85.2%
Branch predictor stats               |            |            |            |           
  num correct                        |      19720 |      19646 |      19636 |      19622
  num incorrect                      |       1098 |       1164 |       1177 |       1199
  misprediction rate                 |      5.27% |      5.59% |      5.66% |      5.76%
  mpki                               |       4.91 |       5.20 |       5.25 |       5.35
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      18685 |      18690 |      18737 |      18757
    num cache misses                 |         24 |         24 |         25 |         24
    miss rate                        |      0.13% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.11 |       0.11 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     136967 |     137031 |     137148 |     137181
    num cache misses                 |       2386 |       2417 |       2518 |       2396
    miss rate                        |      1.74% |      1.76% |      1.84% |      1.75%
    mpki                             |      10.66 |      10.80 |      11.24 |      10.69
  Cache L2                           |            |            |            |           
    num cache accesses               |       3090 |       3091 |       3204 |       3139
    num cache misses                 |         17 |         20 |         26 |         13
    miss rate                        |      0.55% |      0.65% |      0.81% |      0.41%
    mpki                             |       0.08 |       0.09 |       0.12 |       0.06
  Cache L3                           |            |            |            |           
    num cache accesses               |         18 |         23 |         30 |         16
    num cache misses                 |         17 |         20 |         26 |         13
    miss rate                        |     94.44% |     86.96% |     86.67% |     81.25%
    mpki                             |       0.08 |       0.09 |       0.12 |       0.06
DRAM summary                         |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0
  average dram access latency (ns)   |     131.32 |        inf |        inf |        inf
  average dram queueing delay        |      77.89 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          6 |          8 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
