                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     229179 |     229478 |     229228 |     229135 |     229712 |     229389 |     230288 |     228971
  Cycles                             |    5174466 |    5174466 |    5174466 |    5174466 |    5174466 |    5174466 |    5174466 |    5174466
  IPC                                |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
  Time (ns)                          |    1945288 |    1945288 |    1945288 |    1945288 |    1945288 |    1945288 |    1945288 |    1945288
  Idle time (ns)                     |    1767975 |    1768381 |    1768712 |    1769631 |    1769690 |    1769513 |    1771664 |    1771466
  Idle time (%)                      |      90.9% |      90.9% |      90.9% |      91.0% |      91.0% |      91.0% |      91.1% |      91.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      19875 |      19858 |      19853 |      19865 |      19945 |      19909 |      19975 |      19850
  num incorrect                      |       1303 |       1307 |       1348 |       1302 |       1293 |       1294 |       1316 |       1300
  misprediction rate                 |      6.15% |      6.18% |      6.36% |      6.15% |      6.09% |      6.10% |      6.18% |      6.15%
  mpki                               |       5.69 |       5.70 |       5.88 |       5.68 |       5.63 |       5.64 |       5.71 |       5.68
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      19283 |      19358 |      19288 |      19306 |      19315 |      19290 |      19387 |      19275
    num cache misses                 |         24 |         25 |         25 |         25 |         25 |         25 |         24 |         25
    miss rate                        |      0.12% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.12% |      0.13%
    mpki                             |       0.10 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.10 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     139117 |     139304 |     139118 |     139127 |     139319 |     139195 |     139542 |     139068
    num cache misses                 |       3642 |       3739 |       3745 |       3650 |       3752 |       3713 |       3828 |       3695
    miss rate                        |      2.62% |      2.68% |      2.69% |      2.62% |      2.69% |      2.67% |      2.74% |      2.66%
    mpki                             |      15.89 |      16.29 |      16.34 |      15.93 |      16.33 |      16.19 |      16.62 |      16.14
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4546 |       4704 |       4709 |       4539 |       4674 |       4586 |       4678 |       4526
    num cache misses                 |       1631 |       1675 |       1725 |       1606 |       1741 |       1783 |       1666 |       1700
    miss rate                        |     35.88% |     35.61% |     36.63% |     35.38% |     37.25% |     38.88% |     35.61% |     37.56%
    mpki                             |       7.12 |       7.30 |       7.53 |       7.01 |       7.58 |       7.77 |       7.23 |       7.42
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2196 |       2261 |       2323 |       2179 |       2250 |       2288 |       2190 |       2233
    num cache misses                 |         25 |         12 |         20 |         14 |         25 |         17 |         13 |         13
    miss rate                        |      1.14% |      0.53% |      0.86% |      0.64% |      1.11% |      0.74% |      0.59% |      0.58%
    mpki                             |       0.11 |       0.05 |       0.09 |       0.06 |       0.11 |       0.07 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         82 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     170.07 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     116.64 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          6 |          6 |          7 |          8 |          6 |          8 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
