                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     235716 |     234797 |     235066 |     234393 |     235299 |     234855 |     235279 |     233972 |     235862 |     234767 |     234345 |     235653 |     233951 |     234527 |     234845 |     234001
  Cycles                             |   10002090 |   10002090 |   10002090 |   10002090 |   10002090 |   10002090 |   10002090 |   10002090 |   10002090 |   10002090 |   10002090 |   10002090 |   10002090 |   10002090 |   10002090 |   10002090
  IPC                                |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Time (ns)                          |    3760184 |    3760184 |    3760184 |    3760184 |    3760184 |    3760184 |    3760184 |    3760184 |    3760184 |    3760184 |    3760184 |    3760184 |    3760184 |    3760184 |    3760184 |    3760184
  Idle time (ns)                     |    3540169 |    3549706 |    3545804 |    3550141 |    3544039 |    3547653 |    3546970 |    3550156 |    3550212 |    3547553 |    3546178 |    3550528 |    3550395 |    3546483 |    3546846 |    3548099
  Idle time (%)                      |      94.1% |      94.4% |      94.3% |      94.4% |      94.3% |      94.3% |      94.3% |      94.4% |      94.4% |      94.3% |      94.3% |      94.4% |      94.4% |      94.3% |      94.3% |      94.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      20229 |      20257 |      20252 |      20202 |      20225 |      20246 |      20266 |      20121 |      20309 |      20227 |      20131 |      20321 |      20193 |      20232 |      20222 |      20167
  num incorrect                      |       1378 |       1346 |       1351 |       1338 |       1392 |       1354 |       1417 |       1353 |       1397 |       1433 |       1394 |       1399 |       1319 |       1323 |       1378 |       1314
  misprediction rate                 |      6.38% |      6.23% |      6.25% |      6.21% |      6.44% |      6.27% |      6.54% |      6.30% |      6.44% |      6.62% |      6.48% |      6.44% |      6.13% |      6.14% |      6.38% |      6.12%
  mpki                               |       5.85 |       5.73 |       5.75 |       5.71 |       5.92 |       5.77 |       6.02 |       5.78 |       5.92 |       6.10 |       5.95 |       5.94 |       5.64 |       5.64 |       5.87 |       5.62
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      20048 |      19871 |      19918 |      19866 |      19967 |      19893 |      19879 |      19868 |      20003 |      19804 |      19868 |      19939 |      19819 |      19879 |      19898 |      19846
    num cache misses                 |         24 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         24 |         25 |         25 |         25
    miss rate                        |      0.12% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.12% |      0.13% |      0.13% |      0.13% |      0.12% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.10 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.10 |       0.11 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     141749 |     141308 |     141428 |     141197 |     141542 |     141340 |     141444 |     141083 |     141729 |     141220 |     141199 |     141601 |     140999 |     141227 |     141345 |     141060
    num cache misses                 |       6429 |       5997 |       6172 |       6046 |       6246 |       5972 |       5999 |       5914 |       6157 |       6087 |       6174 |       6129 |       5833 |       6097 |       5966 |       5865
    miss rate                        |      4.54% |      4.24% |      4.36% |      4.28% |      4.41% |      4.23% |      4.24% |      4.19% |      4.34% |      4.31% |      4.37% |      4.33% |      4.14% |      4.32% |      4.22% |      4.16%
    mpki                             |      27.27 |      25.54 |      26.26 |      25.79 |      26.54 |      25.43 |      25.50 |      25.28 |      26.10 |      25.93 |      26.35 |      26.01 |      24.93 |      26.00 |      25.40 |      25.06
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       8197 |       7677 |       7893 |       7762 |       8031 |       7606 |       7706 |       7626 |       7936 |       7871 |       7911 |       7835 |       7528 |       7862 |       7721 |       7553
    num cache misses                 |       5246 |       4884 |       5030 |       4938 |       5181 |       4909 |       4992 |       4926 |       4898 |       4879 |       5035 |       4859 |       4670 |       4998 |       4938 |       4773
    miss rate                        |     64.00% |     63.62% |     63.73% |     63.62% |     64.51% |     64.54% |     64.78% |     64.59% |     61.72% |     61.99% |     63.65% |     62.02% |     62.04% |     63.57% |     63.96% |     63.19%
    mpki                             |      22.26 |      20.80 |      21.40 |      21.07 |      22.02 |      20.90 |      21.22 |      21.05 |      20.77 |      20.78 |      21.49 |      20.62 |      19.96 |      21.31 |      21.03 |      20.40
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       6862 |       6384 |       6583 |       6473 |       6785 |       6356 |       6539 |       6424 |       6484 |       6471 |       6597 |       6370 |       6167 |       6578 |       6506 |       6244
    num cache misses                 |       3896 |       3681 |       3864 |       3776 |       3912 |       3626 |       3833 |       3636 |       3558 |       3723 |       3709 |       3715 |       3487 |       3703 |       3723 |       3593
    miss rate                        |     56.78% |     57.66% |     58.70% |     58.33% |     57.66% |     57.05% |     58.62% |     56.60% |     54.87% |     57.53% |     56.22% |     58.32% |     56.54% |     56.29% |     57.22% |     57.54%
    mpki                             |      16.53 |      15.68 |      16.44 |      16.11 |      16.63 |      15.44 |      16.29 |      15.54 |      15.09 |      15.86 |      15.83 |      15.76 |      14.90 |      15.79 |      15.85 |      15.35
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        130 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     253.89 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     200.46 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          8 |          5 |          4 |          6 |          5 |          6 |          6 |          6 |          4 |          5 |          5 |          5 |          4 |          5 |          5 |          4
