                                     | Core 0     | Core 1    
  Instructions                       |     219942 |     220188
  Cycles                             |    1378943 |    1378943
  IPC                                |       0.16 |       0.16
  Time (ns)                          |     518400 |     518400
  Idle time (ns)                     |     382828 |     382489
  Idle time (%)                      |      73.8% |      73.8%
Branch predictor stats               |            |           
  num correct                        |      19617 |      19666
  num incorrect                      |        925 |        920
  misprediction rate                 |      4.50% |      4.47%
  mpki                               |       4.21 |       4.18
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      18261 |      18288
    num cache misses                 |         24 |         26
    miss rate                        |      0.13% |      0.14%
    mpki                             |       0.11 |       0.12
  Cache L1-D                         |            |           
    num cache accesses               |     135464 |     135564
    num cache misses                 |       1664 |       1697
    miss rate                        |      1.23% |      1.25%
    mpki                             |       7.57 |       7.71
  Cache L2                           |            |           
    num cache accesses               |       2407 |       2409
    num cache misses                 |         33 |         15
    miss rate                        |      1.37% |      0.62%
    mpki                             |       0.15 |       0.07
  Cache L3                           |            |           
    num cache accesses               |         35 |         18
    num cache misses                 |         33 |         15
    miss rate                        |     94.29% |     83.33%
    mpki                             |       0.15 |       0.07
DRAM summary                         |            |           
  num dram accesses                  |         46 |          0
  average dram access latency (ns)   |      97.51 |        inf
  average dram queueing delay        |      44.08 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          8 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
