                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1402323 |    1403826 |    1401614 |    1404030
  Cycles                             |   25216388 |   25216388 |   25216388 |   25216388
  IPC                                |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |    9479845 |    9479845 |    9479845 |    9479845
  Idle time (ns)                     |    8120702 |    8118909 |    8120557 |    8118290
  Idle time (%)                      |      85.7% |      85.6% |      85.7% |      85.6%
Branch predictor stats               |            |            |            |           
  num correct                        |     110617 |     110769 |     110506 |     110770
  num incorrect                      |        450 |        506 |        461 |        522
  misprediction rate                 |      0.41% |      0.45% |      0.42% |      0.47%
  mpki                               |       0.32 |       0.36 |       0.33 |       0.37
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      19408 |      19434 |      19410 |      19477
    num cache misses                 |         24 |         24 |         24 |         23
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     950678 |     951128 |     950480 |     951210
    num cache misses                 |       2081 |       2291 |       1977 |       2313
    miss rate                        |      0.22% |      0.24% |      0.21% |      0.24%
    mpki                             |       1.48 |       1.63 |       1.41 |       1.65
  Cache L2                           |            |            |            |           
    num cache accesses               |       2311 |       2537 |       2215 |       2573
    num cache misses                 |         33 |         16 |         16 |         11
    miss rate                        |      1.43% |      0.63% |      0.72% |      0.43%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |         35 |         19 |         19 |         14
    num cache misses                 |         33 |         16 |         16 |         11
    miss rate                        |     94.29% |     84.21% |     84.21% |     78.57%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0
  average dram access latency (ns)   |     114.50 |        inf |        inf |        inf
  average dram queueing delay        |      61.07 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          8 |          4 |          5 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
