                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     230233 |     230289 |     230006 |     228543 |     229156 |     230225 |     229497 |     228933
  Cycles                             |    4736289 |    4736289 |    4736289 |    4736289 |    4736289 |    4736289 |    4736289 |    4736289
  IPC                                |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Time (ns)                          |    1780560 |    1780560 |    1780560 |    1780560 |    1780560 |    1780560 |    1780560 |    1780560
  Idle time (ns)                     |    1605807 |    1603618 |    1600295 |    1606829 |    1603793 |    1600909 |    1602205 |    1607237
  Idle time (%)                      |      90.2% |      90.1% |      89.9% |      90.2% |      90.1% |      89.9% |      90.0% |      90.3%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      19984 |      19909 |      19875 |      19805 |      19837 |      19957 |      19846 |      19891
  num incorrect                      |       1296 |       1382 |       1379 |       1310 |       1346 |       1285 |       1339 |       1257
  misprediction rate                 |      6.09% |      6.49% |      6.49% |      6.20% |      6.35% |      6.05% |      6.32% |      5.94%
  mpki                               |       5.63 |       6.00 |       6.00 |       5.73 |       5.87 |       5.58 |       5.83 |       5.49
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      19387 |      19404 |      19376 |      19257 |      19292 |      19426 |      19348 |      19279
    num cache misses                 |         22 |         25 |         25 |         25 |         26 |         26 |         25 |         26
    miss rate                        |      0.11% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.10 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     139537 |     139564 |     139439 |     138909 |     139109 |     139565 |     139257 |     139025
    num cache misses                 |       3800 |       3861 |       3860 |       3645 |       3778 |       3831 |       3791 |       3716
    miss rate                        |      2.72% |      2.77% |      2.77% |      2.62% |      2.72% |      2.74% |      2.72% |      2.67%
    mpki                             |      16.51 |      16.77 |      16.78 |      15.95 |      16.49 |      16.64 |      16.52 |      16.23
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4692 |       4762 |       4798 |       4514 |       4650 |       4747 |       4727 |       4606
    num cache misses                 |       1766 |       1803 |       1769 |       1745 |       1681 |       1821 |       1837 |       1700
    miss rate                        |     37.64% |     37.86% |     36.87% |     38.66% |     36.15% |     38.36% |     38.86% |     36.91%
    mpki                             |       7.67 |       7.83 |       7.69 |       7.64 |       7.34 |       7.91 |       8.00 |       7.43
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2328 |       2367 |       2356 |       2334 |       2210 |       2448 |       2461 |       2266
    num cache misses                 |         32 |          9 |         10 |          9 |          7 |          9 |          6 |          9
    miss rate                        |      1.37% |      0.38% |      0.42% |      0.39% |      0.32% |      0.37% |      0.24% |      0.40%
    mpki                             |       0.14 |       0.04 |       0.04 |       0.04 |       0.03 |       0.04 |       0.03 |       0.04
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         83 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     126.51 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      73.08 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          8 |          4 |          5 |          4 |          7 |          5 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
