                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     104276 |     103986 |     105630 |     106287 |     105456 |     106039 |     104985 |     105958 |     106305 |     105546 |     106263 |     105231 |     104054 |     106048 |     104571 |     105420
  Cycles                             |    3946354 |    3946354 |    3946354 |    3946354 |    3946354 |    3946354 |    3946354 |    3946354 |    3946354 |    3946354 |    3946354 |    3946354 |    3946354 |    3946354 |    3946354 |    3946354
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |    1483592 |    1483592 |    1483592 |    1483592 |    1483592 |    1483592 |    1483592 |    1483592 |    1483592 |    1483592 |    1483592 |    1483592 |    1483592 |    1483592 |    1483592 |    1483592
  Idle time (ns)                     |    1384437 |    1389720 |    1380476 |    1373631 |    1382102 |    1377285 |    1387981 |    1372374 |    1376278 |    1379570 |    1381854 |    1386225 |    1392684 |    1374012 |    1384076 |    1386183
  Idle time (%)                      |      93.3% |      93.7% |      93.0% |      92.6% |      93.2% |      92.8% |      93.6% |      92.5% |      92.8% |      93.0% |      93.1% |      93.4% |      93.9% |      92.6% |      93.3% |      93.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      10929 |      10831 |      10916 |      10920 |      10918 |      10871 |      10870 |      10915 |      10841 |      10881 |      10906 |      10881 |      10891 |      10834 |      10874 |      10985
  num incorrect                      |        800 |        862 |        908 |        940 |        859 |        972 |        879 |        908 |        981 |        906 |        939 |        885 |        800 |        951 |        852 |        839
  misprediction rate                 |      6.82% |      7.37% |      7.68% |      7.93% |      7.29% |      8.21% |      7.48% |      7.68% |      8.30% |      7.69% |      7.93% |      7.52% |      6.84% |      8.07% |      7.27% |      7.10%
  mpki                               |       7.67 |       8.29 |       8.60 |       8.84 |       8.15 |       9.17 |       8.37 |       8.57 |       9.23 |       8.58 |       8.84 |       8.41 |       7.69 |       8.97 |       8.15 |       7.96
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      18355 |      18334 |      18500 |      18596 |      18521 |      18562 |      18444 |      18559 |      18630 |      18510 |      18588 |      18476 |      18346 |      18627 |      18401 |      18463
    num cache misses                 |         24 |         25 |         24 |         23 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24
